# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	20180	21748	-	LPARA_00019	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CI1
contig_1	cds	21818	22723	-	LPARA_00020	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_S2RBI8
contig_1	cds	23026	23868	+	LPARA_00021	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003439D32
contig_1	cds	24085	24474	-	LPARA_00022	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003439820
contig_1	cds	24512	25384	-	LPARA_00023	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343E1B2
contig_1	cds	25407	26303	-	LPARA_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343471A
contig_1	cds	26305	27357	-	LPARA_00025	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343F0C6
contig_1	cds	27395	28435	-	LPARA_00026	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343E4D1
contig_1	cds	28449	30404	-	LPARA_00027	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00034345A2
contig_1	cds	30401	31381	-	LPARA_00028	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A5YBJ5
contig_1	cds	31418	32233	-	LPARA_00029	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A5YBJ4
contig_1	cds	32278	33756	-	LPARA_00030	906.0	0.0	1.0	0.996	0.925	UniRef:UniRef90_A5YBJ3
contig_1	cds	33833	35323	-	LPARA_00031	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAP9KU99
contig_1	cds	35867	36673	+	LPARA_00032	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_E1U857
contig_1	cds	36860	37720	-	LPARA_00033	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1V0Q6T5
contig_1	cds	37917	38669	-	LPARA_00034	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A422M855
contig_1	cds	38675	40228	-	LPARA_00035	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1V0Q788
contig_1	cds	40370	40837	-	LPARA_00036	297.0	8.5e-102	1.0	1.0	0.994	UniRef:UniRef90_Q03CI7
contig_1	cds	40969	42279	-	LPARA_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CI8
contig_1	cds	42276	43466	-	LPARA_00038	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00034371BE
contig_1	cds	43472	44158	-	LPARA_00039	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K1KW72
contig_1	cds	44313	44993	+	LPARA_00040	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1V0Q6M8
contig_1	cds	45075	46562	-	LPARA_00041	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CJ2
contig_1	cds	46939	47760	-	LPARA_00042	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5Q8BVJ9
contig_1	cds	47792	48814	-	LPARA_00043	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1S2AEG3
contig_1	cds	48930	49112	-	LPARA_00044	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CJ5
contig_1	cds	49277	50149	-	LPARA_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CJ6
contig_1	cds	50139	50906	-	LPARA_00046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CJ7
contig_1	cds	50916	51746	-	LPARA_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K1MR48
contig_1	cds	51750	52481	-	LPARA_00048	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CJ9
contig_1	cds	52793	53173	+	LPARA_00049	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K6R1Y9
contig_1	cds	53306	53977	+	LPARA_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CK1
contig_1	cds	54057	54677	-	LPARA_00051	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003433BF8
contig_1	cds	54825	55472	-	LPARA_00052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343B4D9
contig_1	cds	55488	56402	-	LPARA_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003434EE3
contig_1	cds	56405	57082	-	LPARA_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K1KW61
contig_1	cds	57390	57815	-	LPARA_00055	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CK6
contig_1	cds	57850	58263	-	LPARA_00056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CK7
contig_1	cds	58272	58469	-	LPARA_00057	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CK8
contig_1	cds	58572	59111	-	LPARA_00058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CK9
contig_1	cds	59125	59382	-	LPARA_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CL0
contig_1	cds	59615	60016	-	LPARA_00060	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CL1
contig_1	cds	60540	61502	+	LPARA_00061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CL2
contig_1	cds	61602	61796	-	LPARA_00062	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CL3
contig_1	cds	61793	62035	-	LPARA_00063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CL4
contig_1	cds	62083	62550	-	LPARA_00064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CL5
contig_1	cds	62718	63023	-	LPARA_00065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CL6
contig_1	cds	63180	63686	+	LPARA_00066	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_S4ZIT6
contig_1	cds	63935	64141	+	LPARA_00067	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CL8
contig_1	cds	64229	64603	-	LPARA_00068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CL9
contig_1	cds	64603	65445	-	LPARA_00069	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1S2AEC5
contig_1	cds	65570	66883	-	LPARA_00070	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A806L4T0
contig_1	cds	67069	67701	-	LPARA_00071	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CM2
contig_1	cds	67712	69073	-	LPARA_00072	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343A5B7
contig_1	cds	69219	71060	+	LPARA_00073	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343854F
contig_1	cds	71527	72420	-	LPARA_00074	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003435000
contig_1	cds	72535	74115	+	LPARA_00075	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003436857
contig_1	cds	74335	75471	-	LPARA_00076	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CM8
contig_1	cds	75628	76095	-	LPARA_00077	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A422MEK4
contig_1	cds	76144	76620	-	LPARA_00078	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CN0
contig_1	cds	76617	77291	-	LPARA_00079	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CN1
contig_1	cds	77272	78006	-	LPARA_00080	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003A5A232
contig_1	cds	78012	78716	-	LPARA_00081	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343AADF
contig_1	cds	78720	79508	-	LPARA_00082	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_S2NAN5
contig_1	cds	79911	81536	-	LPARA_00083	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1J3C2N5
contig_1	cds	81781	84162	-	LPARA_00084	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CN5
contig_1	cds	84422	84568	+	LPARA_00085	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CN6
contig_1	cds	84836	86284	+	LPARA_00086	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A422M9D9
contig_1	cds	86484	87053	+	LPARA_00087	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003435662
contig_1	cds	87060	90005	+	LPARA_00088	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00034336CD
contig_1	cds	90056	90352	-	LPARA_00089	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_S4ZHI6
contig_1	cds	90407	91135	-	LPARA_00090	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CP0
contig_1	cds	91351	92175	+	LPARA_00091	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343936A
contig_1	cds	92276	93466	-	LPARA_00092	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_S2RSK2
contig_1	cds	93524	94870	-	LPARA_00093	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CP3
contig_1	cds	95051	95380	+	LPARA_00094	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CP4
contig_1	cds	95453	96439	-	LPARA_00095	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_S2SHT6
contig_1	cds	96580	98040	-	LPARA_00096	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0E2LU24
contig_1	cds	98037	98270	-	LPARA_00097	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CP7
contig_1	cds	98495	99574	-	LPARA_00098	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K1KW25
contig_1	cds	99699	100442	-	LPARA_00099	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A826HKR4
contig_1	cds	100594	101367	-	LPARA_00100	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_S2NSM9
contig_1	cds	101371	101730	-	LPARA_00101	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A422M9J6
contig_1	cds	101746	103788	-	LPARA_00102	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAP9HE58
contig_1	cds	104144	104719	+	LPARA_00103	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A806L4L9
contig_1	cds	104973	105269	-	LPARA_00104	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A829H092
contig_1	cds	105462	106436	+	LPARA_00105	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CQ5
contig_1	cds	106508	106831	-	LPARA_00106	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CQ6
contig_1	cds	106972	108429	-	LPARA_00107	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CQ7
contig_1	cds	108624	108974	+	LPARA_00108	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0E2LUH6
contig_1	cds	109146	109508	+	LPARA_00109	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0C9QEX6
contig_1	cds	109633	110565	-	LPARA_00110	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CR0
contig_1	cds	110676	111182	+	LPARA_00111	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CR1
contig_1	cds	111344	111640	+	LPARA_00112	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CR2
contig_1	cds	111723	112724	-	LPARA_00113	671.0	1.6e-247	1.0	1.0	0.997	BlastRules:WP_003577354
contig_1	cds	112791	113282	-	LPARA_00114	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CR4
contig_1	cds	113456	114529	+	LPARA_00115	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CR5
contig_1	cds	114683	114934	-	LPARA_00116	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CR6
contig_1	cds	115156	116232	+	LPARA_00117	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00034374E0
contig_1	cds	116450	117430	+	LPARA_00118	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A806LEH2
contig_1	cds	117620	117904	+	LPARA_00119	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1Y2KPZ7
contig_1	cds	117897	118007	+	LPARA_00120	-	-	-	-	-	-
contig_1	cds	118053	118175	+	LPARA_00121	-	-	-	-	-	-
contig_1	cds	118863	120224	+	LPARA_00122	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343E0FF
contig_1	cds	120458	121222	-	LPARA_00123	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00029784F6
contig_1	cds	121382	122731	-	LPARA_00124	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003434397
contig_1	cds	123059	123667	+	LPARA_00125	370.0	4.2e-129	1.0	0.962	0.975	UniRef:UniRef90_Q03CS6
contig_1	cds	123630	123752	-	LPARA_00126	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A422L9G6
contig_1	cds	123979	126162	-	LPARA_00127	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1V0Q702
contig_1	cds	126476	127237	-	LPARA_00128	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343CB48
contig_1	cds	127234	128163	-	LPARA_00129	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K6R1Q6
contig_1	cds	128160	128375	-	LPARA_00130	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CT0
contig_1	cds	128442	129563	-	LPARA_00131	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343D125
contig_1	cds	130011	130889	-	LPARA_00132	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003436754
contig_1	cds	131134	133554	+	LPARA_00133	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00234BE447
contig_1	cds	133641	133991	-	LPARA_00134	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CT4
contig_1	cds	134086	135945	-	LPARA_00135	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A8E0ILK1
contig_1	cds	136254	137549	-	LPARA_00136	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CT6
contig_1	cds	138034	138903	+	LPARA_00137	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001F4DD470
contig_1	cds	139141	140070	+	LPARA_00138	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CT8
contig_1	cds	140057	142048	+	LPARA_00139	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00234983B6
contig_1	cds	142516	143679	-	LPARA_00140	748.0	1.5e-272	1.0	1.0	0.987	UniRef:UniRef90_UPI000D3BECDD
contig_1	cds	143745	145133	-	LPARA_00141	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CU1
contig_1	cds	145375	145830	-	LPARA_00142	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CU2
contig_1	cds	145846	147852	-	LPARA_00143	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_S4ZJY0
contig_1	cds	148164	148463	-	LPARA_00144	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CV0
contig_1	cds	148549	149136	-	LPARA_00145	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003434292
contig_1	cds	149472	150338	-	LPARA_00146	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343AEBE
contig_1	cds	150331	150744	-	LPARA_00147	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CV4
contig_1	cds	151031	151408	-	LPARA_00148	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CV5
contig_1	cds	151604	152662	-	LPARA_00149	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00034347F6
contig_1	cds	152666	153673	-	LPARA_00150	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003433995
contig_1	cds	153675	155054	-	LPARA_00151	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2S3UB44
contig_1	ncRNA-region	155492	155671	+	-	110.9	2.2e-16	-	-	-	RFAM:RF00168
contig_1	cds	155770	157116	+	LPARA_00152	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343A2E5
contig_1	cds	157127	157831	+	LPARA_00153	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B3W7E7
contig_1	cds	157839	158990	+	LPARA_00154	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343CB1B
contig_1	cds	159134	160039	+	LPARA_00155	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CW3
contig_1	cds	160036	160803	+	LPARA_00156	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343DC9B
contig_1	cds	161229	161735	-	LPARA_00157	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A8E0M753
contig_1	cds	162024	162533	-	LPARA_00158	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343D75E
contig_1	cds	162752	163474	+	LPARA_00159	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343AF90
contig_1	cds	163458	163832	-	LPARA_00160	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003438970
contig_1	cds	163954	164532	-	LPARA_00161	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAP9HE01
contig_1	cds	164691	166517	+	LPARA_00162	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343B711
contig_1	cds	166649	167791	-	LPARA_00163	721.0	5.8e-262	1.0	1.0	0.979	UniRef:UniRef90_Q03CX9
contig_1	cds	168622	169647	+	LPARA_00164	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343EB96
contig_1	cds	169644	170426	+	LPARA_00165	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B3W6W8
contig_1	cds	170454	171053	+	LPARA_00166	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003437C88
contig_1	cds	171037	172257	+	LPARA_00167	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000297BE70
contig_1	cds	172250	173044	+	LPARA_00168	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003437403
contig_1	cds	173658	174317	-	LPARA_00169	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_S2RZ82
contig_1	cds	174366	174950	-	LPARA_00170	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAP4N5E8
contig_1	cds	175098	175325	-	LPARA_00171	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1J3CB28
contig_1	cds	175345	177201	-	LPARA_00172	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003439624
contig_1	cds	177546	177767	+	LPARA_00173	147.0	4.5e-45	1.0	1.0	0.959	UniRef:UniRef90_Q03CZ0
contig_1	cds	177833	178486	+	LPARA_00174	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CZ1
contig_1	cds	179110	180363	+	LPARA_00175	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1V0Q733
contig_1	cds	180366	180995	+	LPARA_00176	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CZ3
contig_1	cds	181007	181936	+	LPARA_00177	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CZ4
contig_1	cds	181936	182598	+	LPARA_00178	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1J3C873
contig_1	cds	182812	183072	+	LPARA_00179	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CZ6
contig_1	cds	183323	183925	+	LPARA_00180	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03CZ7
contig_1	cds	183922	187233	+	LPARA_00181	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343AE1F
contig_1	cds	187398	187538	-	LPARA_00182	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_S2NEF1
contig_1	cds	187915	189288	+	LPARA_00183	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00234B0BF1
contig_1	cds	189626	191218	-	LPARA_00184	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343E71A
contig_1	cds	191287	192186	+	LPARA_00185	553.0	3.7e-198	0.940	0.895	0.979	UniRef:UniRef90_A0A422L9A6
contig_1	cds	192375	192695	-	LPARA_00186	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0C9PY36
contig_1	cds	192760	193113	-	LPARA_00187	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003433108
contig_1	cds	193390	194082	-	LPARA_00188	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343572A
contig_1	cds	194480	195130	+	LPARA_00189	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03D06
contig_1	cds	195646	196350	+	LPARA_00190	-	-	-	-	-	-
contig_1	cds	196464	196577	-	LPARA_00191	-	-	-	-	-	-
contig_1	cds	196677	196892	+	LPARA_00192	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003A04149
contig_1	cds	197326	198114	+	LPARA_00193	517.0	6.2e-185	1.0	0.888	0.996	UniRef:UniRef90_S2RAA1
contig_1	cds	198466	198681	+	LPARA_00194	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K6SSB1
contig_1	cds	199034	199324	+	LPARA_00195	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03D10
contig_1	cds	199562	199891	-	LPARA_00196	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343B354
contig_1	cds	199878	200588	-	LPARA_00197	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343A07E
contig_1	cds	200939	201148	+	LPARA_00198	-	-	-	-	-	-
contig_1	cds	201169	201375	+	LPARA_00199	-	-	-	-	-	-
contig_1	cds	201344	203083	+	LPARA_00200	1128.0	0.0	0.997	0.806	0.997	UniRef:UniRef90_A0A422MES7
contig_1	cds	203328	203801	-	LPARA_00201	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001F4E3086
contig_1	cds	204158	204769	+	LPARA_00202	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343D61A
contig_1	cds	204942	205574	-	LPARA_00203	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAP9HEH2
contig_1	cds	205769	207211	-	LPARA_00204	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03D23
contig_1	cds	207452	207811	+	LPARA_00205	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03D24
contig_1	cds	208454	209830	-	LPARA_00206	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B3W6P3
contig_1	cds	209882	210040	-	LPARA_00207	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A8E0I2Q9
contig_1	cds	210059	210697	+	LPARA_00208	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0K1MPH4
contig_1	cds	210746	211639	+	LPARA_00209	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03D28
contig_1	cds	211804	212481	-	LPARA_00210	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A826HN60
contig_1	cds	212637	212861	-	LPARA_00211	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A826HKD8
contig_1	cds	213201	213806	-	LPARA_00212	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003438A46
contig_1	cds	213984	214757	+	LPARA_00213	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003434B65
contig_1	cds	215102	217252	+	LPARA_00214	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003435401
contig_1	cds	217272	217775	+	LPARA_00215	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1J3CDG7
contig_1	cds	217708	218388	-	LPARA_00216	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAP4JKB1
contig_1	cds	218614	218934	-	LPARA_00217	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1V0Q752
contig_1	cds	218939	219745	-	LPARA_00218	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1V0Q782
contig_1	cds	219789	220340	-	LPARA_00219	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343F0AF
contig_1	cds	220620	221321	+	LPARA_00220	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q03D34
contig_1	cds	221334	223907	+	LPARA_00221	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000343D20E
contig_1	cds	224111	225346	+	LPARA_00222	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0003436DB2
contig_1	cds	225835	226014	+	LPARA_00223	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1J3CAP9
contig_1	cds	226065	226247	+	LPARA_00224	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_K6QSF0
