#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	572585	572707	-	LPARA_00550	4.3	6.5		SO:0001217, UniParc:UPI0001DBDECF, UniRef:UniRef100_S2NGD4, UniRef:UniRef50_S2NGD4, UniRef:UniRef90_S2NGD4
contig_2	4380	4673	+	LPARA_00626	11.1	8.0		RefSeq:WP_016374966.1, SO:0001217, UniParc:UPI0003438918, UniRef:UniRef100_S2R7Z6, UniRef:UniRef50_Q039N8, UniRef:UniRef90_Q039N8
contig_2	29019	29714	+	LPARA_00648	24.6	5.9		RefSeq:WP_016384323.1, SO:0001217, UniParc:UPI000343E2EC, UniRef:UniRef100_UPI000343E2EC, UniRef:UniRef50_Q039L2, UniRef:UniRef90_Q039L2
contig_2	242566	243564	-	LPARA_00835	38.6	5.1		SO:0001217, UniRef:UniRef50_C2JXF8
contig_2	243561	243788	-	LPARA_00836	8.6	4.7		SO:0001217, UniRef:UniRef50_A0A829H7B0
contig_2	243809	244096	-	LPARA_00837	10.9	4.1		SO:0001217, UniRef:UniRef50_A0A829H6J8
contig_2	244989	245813	-	LPARA_00840	32.3	9.1		SO:0001217, UniRef:UniRef50_UPI000D75FD13, UniRef:UniRef90_UPI002631E2E9
contig_2	246827	247972	-	LPARA_00842	42.6	9.5		SO:0001217, UniRef:UniRef50_A0AAD1ESR6
contig_2	250250	250561	+	LPARA_00843	11.7	5.1		SO:0001217, UniRef:UniRef50_UPI001CC189D6, UniRef:UniRef50_UPI0034E8A6F6, UniRef:UniRef90_UPI001CC189D6, UniRef:UniRef90_UPI0034E8A6F6
contig_2	276953	277201	+	LPARA_00874	9.3	4.5		RefSeq:WP_003575242.1, SO:0001217, UniParc:UPI00005111C8, UniRef:UniRef100_Q038Q2, UniRef:UniRef50_Q038Q2, UniRef:UniRef90_Q038Q2
contig_2	278120	278302	-	LPARA_00876	7.3	10.7		RefSeq:WP_003565717.1, SO:0001217, UniParc:UPI00005111C6, UniRef:UniRef100_Q038Q0, UniRef:UniRef50_Q038Q0, UniRef:UniRef90_Q038Q0
contig_2	298083	298331	+	LPARA_00888	8.0	4.4		
contig_2	298539	298838	+	LPARA_00889	9.7	4.1		
contig_2	301392	302405	-	LPARA_00890	39.2	5.2		RefSeq:WP_003579325.1, SO:0001217, UniParc:UPI000297FCB3, UniRef:UniRef100_A0A0C9NW00, UniRef:UniRef50_A0A5P5ZEU5, UniRef:UniRef90_A0A0C9NW00
contig_2	309270	309503	+	LPARA_00898	8.7	6.6		RefSeq:WP_003594628.1, SO:0001217, UniParc:UPI0000E568D8, UniRef:UniRef100_Q038N7, UniRef:UniRef50_Q038N7, UniRef:UniRef90_Q038N7
contig_2	312591	312782	+	LPARA_00901	7.1	9.7		
contig_2	344706	344930	-	LPARA_00928	8.2	4.7		RefSeq:WP_353801933.1, SO:0001217, UniParc:UPI00339B13C8, UniRef:UniRef100_UPI00339B13C8, UniRef:UniRef50_Q037F6, UniRef:UniRef90_Q037F6
contig_2	346290	346499	-	LPARA_00930	8.2	6.5		RefSeq:WP_353801931.1, SO:0001217, UniParc:UPI00339949C3, UniRef:UniRef100_UPI00339949C3, UniRef:UniRef50_A0A829GTB3, UniRef:UniRef90_UPI00339949C3
contig_2	367060	367617	-	LPARA_00953	20.8	6.2		RefSeq:WP_353801713.1, SO:0001217, UniParc:UPI00339A08E4, UniRef:UniRef100_UPI00339A08E4, UniRef:UniRef50_UPI00339A08E4, UniRef:UniRef90_UPI00339A08E4
contig_2	370045	370542	-	LPARA_00957	18.5	9.3		SO:0001217, UniRef:UniRef50_A0A0R1U5Z2
contig_2	374460	374738	-	LPARA_00966	10.3	5.0		SO:0001217, UniRef:UniRef50_UPI003392F15E, UniRef:UniRef90_UPI003392F15E
contig_2	377229	377327	-	LPARA_00971	3.8	9.7		
contig_2	377372	377917	+	LPARA_00972	20.2	9.0		RefSeq:WP_353801701.1, SO:0001217, UniParc:UPI0033958A45, UniRef:UniRef100_UPI0033958A45, UniRef:UniRef50_Q03BR9, UniRef:UniRef90_Q03BR9
contig_2	378096	378188	-	LPARA_00974	3.3	6.7		
contig_2	378855	379034	-	LPARA_00977	6.6	8.1		RefSeq:WP_353801699.1, SO:0001217, UniParc:UPI003390D2EE, UniRef:UniRef100_UPI003390D2EE, UniRef:UniRef50_Q03BS4, UniRef:UniRef90_UPI0002976D75
contig_2	379901	380362	+	LPARA_00979	17.4	9.2		RefSeq:WP_353801697.1, SO:0001217, UniParc:UPI0033988DDA, UniRef:UniRef100_UPI0033988DDA, UniRef:UniRef50_A0AAE9VXW8, UniRef:UniRef90_A0AAE9VXW8
contig_2	429957	430259	+	LPARA_01029	11.8	9.7		RefSeq:WP_003575333.1, SO:0001217, UniParc:UPI000297CDD5, UniRef:UniRef100_A0A0C9PRJ0, UniRef:UniRef50_Q038G7, UniRef:UniRef90_Q038G7
contig_2	430256	430393	+	LPARA_01030	5.3	10.6		RefSeq:WP_012491652.1, SO:0001217, UniParc:UPI000176ABBC, UniRef:UniRef100_A0A422MAI8, UniRef:UniRef50_A0A422MAI8, UniRef:UniRef90_A0A422MAI8
contig_2	478547	478801	+	LPARA_01081	9.4	11.4		
contig_2	494347	494778	-	LPARA_01102	16.1	9.5		SO:0001217, UniRef:UniRef50_A0A8E0M4Z4, UniRef:UniRef90_A0A8E0M4Z4
contig_2	510081	510179	-	LPARA_01117	3.6	11.0		SO:0001217, UniParc:UPI000A7A394D, UniRef:UniRef100_A0A422LD83, UniRef:UniRef50_A0A422LD83, UniRef:UniRef90_A0A422LD83
contig_3	109156	109950	-	LPARA_01213	29.6	10.2		RefSeq:WP_003580491.1, SO:0001217, UniParc:UPI0000E569C3, UniRef:UniRef100_Q036C7, UniRef:UniRef50_Q036C7, UniRef:UniRef90_Q036C7
contig_3	118113	118256	-	LPARA_01221	5.4	9.0		SO:0001217, UniRef:UniRef50_S4ZRN0, UniRef:UniRef90_S4ZRN0
contig_3	122278	122451	+	LPARA_01226	6.7	10.7		RefSeq:WP_003571239.1, SO:0001217, UniParc:UPI0000510D7C, UniRef:UniRef100_Q036B5, UniRef:UniRef50_Q036B5, UniRef:UniRef90_Q036B5
contig_3	128034	128399	+	LPARA_01233	14.0	5.1		RefSeq:WP_003566980.1, SO:0001217, UniParc:UPI000176A76C, UniRef:UniRef100_K6QL23, UniRef:UniRef50_Q036A8, UniRef:UniRef90_K6QL23
contig_3	168859	169095	+	LPARA_01274	8.8	10.6		SO:0001217, UniRef:UniRef50_A0A806LGQ6, UniRef:UniRef90_A0A806LGQ6
contig_3	214999	215241	-	LPARA_01316	9.4	10.0		RefSeq:WP_063558402.1, SO:0001217, UniParc:UPI0007BECAD8, UniRef:UniRef100_UPI0007BECAD8, UniRef:UniRef50_Q035S7, UniRef:UniRef90_Q035S7
contig_3	223073	223660	-	LPARA_01325	21.1	7.8		RefSeq:WP_016384794.1, SO:0001217, UniParc:UPI0003433B52, UniRef:UniRef100_UPI0003433B52, UniRef:UniRef50_Q035R8, UniRef:UniRef90_Q035R8
contig_3	257615	257821	-	LPARA_01358	8.0	8.9		RefSeq:WP_003567288.1, SO:0001217, UniParc:UPI0000510E0F, UniRef:UniRef100_Q035M7, UniRef:UniRef50_Q035M7, UniRef:UniRef90_Q035M7
contig_3	262431	262625	-	LPARA_01363	7.1	10.7		RefSeq:WP_003567298.1, SO:0001217, UniParc:UPI000197740D, UniRef:UniRef100_A0A1J3C1D4, UniRef:UniRef50_Q035M1, UniRef:UniRef90_Q035M1
contig_3	262879	263415	-	LPARA_01364	19.7	10.4		RefSeq:WP_003571396.1, SO:0001217, UniParc:UPI000176ABDF, UniRef:UniRef100_A0A0K1L2F8, UniRef:UniRef90_Q035M0
contig_3	281381	281641	-	LPARA_01381	10.1	9.6		SO:0001217, UniParc:UPI000343EDB1, UniRef:UniRef100_A0A243Q1U1, UniRef:UniRef50_Q035K1, UniRef:UniRef90_Q035K1
contig_3	281765	282076	-	LPARA_01382	11.9	6.2		SO:0001217, UniRef:UniRef50_Q035K0, UniRef:UniRef90_Q035K0
contig_3	286337	286477	-	LPARA_01385	5.4	6.5		SO:0001217, UniRef:UniRef50_Q035J6
contig_3	289139	289336	-	LPARA_01388	7.2	10.5		RefSeq:WP_003661762.1, SO:0001217, UniParc:UPI0000E56A04, UniRef:UniRef100_Q035J3, UniRef:UniRef50_Q035J3, UniRef:UniRef90_Q035J3
contig_3	291099	291323	+	LPARA_01392	8.6	7.8		RefSeq:WP_003576297.1, SO:0001217, UniParc:UPI0002982D1B, UniRef:UniRef100_UPI0002982D1B, UniRef:UniRef50_Q035I9, UniRef:UniRef90_Q035I9
contig_3	291355	291525	-	LPARA_01393	6.4	4.8		SO:0001217, UniParc:UPI000297E862, UniRef:UniRef100_A0AAP9HJI3, UniRef:UniRef50_Q035I8, UniRef:UniRef90_A0AAP9HJI3
contig_3	294079	294270	-	LPARA_01397	6.8	6.7		RefSeq:WP_016384132.1, SO:0001217, UniParc:UPI000343EE46, UniRef:UniRef100_S2P129, UniRef:UniRef50_Q035I3, UniRef:UniRef90_A0A806LB43
contig_3	295904	296212	-	LPARA_01400	11.4	9.9		RefSeq:WP_003659595.1, SO:0001217, UniParc:UPI0000E56A0A, UniRef:UniRef100_Q035I0, UniRef:UniRef50_Q035I0, UniRef:UniRef90_Q035I0
contig_3	307855	308220	+	LPARA_01411	14.0	4.9		RefSeq:WP_003567394.1, SO:0001217, UniParc:UPI0001977E1D, UniRef:UniRef100_K6QAH6, UniRef:UniRef50_A0A0R2AXD2, UniRef:UniRef90_K6QAH6
contig_3	324775	324924	+	LPARA_01428	5.8	8.2		RefSeq:WP_003567431.1, SO:0001217, UniParc:UPI0000E56A17, UniRef:UniRef100_Q035F2, UniRef:UniRef50_Q035F2, UniRef:UniRef90_Q035F2
contig_3	328055	329239	-	LPARA_01430	45.5	5.5		RefSeq:WP_016384732.1, SO:0001217, UniParc:UPI000343CFC9, UniRef:UniRef100_UPI000343CFC9, UniRef:UniRef50_Q035E8, UniRef:UniRef90_Q035E8
contig_3	329691	329978	-	LPARA_01431	10.6	10.3		
contig_3	331840	331959	+	LPARA_01434	4.6	9.4		SO:0001217, UniParc:UPI0002DA0E07, UniRef:UniRef100_S2N8Z0, UniRef:UniRef50_S2N8Z0, UniRef:UniRef90_S2N8Z0
contig_3	333026	333313	-	LPARA_01437	10.5	10.1		RefSeq:WP_013246073.1, SO:0001217, UniParc:UPI0001DBE140, UniRef:UniRef100_A0A829G4U4, UniRef:UniRef50_Q035E3, UniRef:UniRef90_A0A829GSY8
contig_3	349694	349942	-	LPARA_01452	8.9	11.0		RefSeq:WP_016383783.1, SO:0001217, UniParc:UPI0002EAB24A, UniRef:UniRef100_A0A806LHC4, UniRef:UniRef50_A0A826HVU8, UniRef:UniRef90_A0A826HVU8
contig_4	11773	12120	-	LPARA_01530	13.4	9.8		RefSeq:WP_003563917.1, SO:0001217, UniParc:UPI00005110D0, UniRef:UniRef100_Q03B35, UniRef:UniRef50_Q03B35, UniRef:UniRef90_Q03B35
contig_4	17118	17468	-	LPARA_01535	13.0	4.7		RefSeq:WP_003563904.1, SO:0001217, UniParc:UPI0001979BEF, UniRef:UniRef100_A0A0K1KXW0, UniRef:UniRef50_Q03B40, UniRef:UniRef90_Q03B40
contig_4	31634	31828	-	LPARA_01550	7.3	10.4		RefSeq:WP_003563872.1, SO:0001217, UniParc:UPI0000E567BF, UniRef:UniRef100_Q03B56, UniRef:UniRef50_Q03B56, UniRef:UniRef90_Q03B56
contig_4	33492	33971	+	LPARA_01552	17.9	10.3		RefSeq:WP_003563860.1, SO:0001217, UniParc:UPI0000510EDA, UniRef:UniRef100_Q03B58, UniRef:UniRef50_Q03B58, UniRef:UniRef90_Q03B58
contig_4	34453	34611	-	LPARA_01554	5.9	8.0		SO:0001217, UniRef:UniRef50_S4ZR13, UniRef:UniRef90_S4ZR13
contig_4	64236	65297	+	LPARA_01582	39.0	5.0		RefSeq:WP_016384887.1, SO:0001217, UniParc:UPI000343BDA1, UniRef:UniRef100_UPI000343BDA1, UniRef:UniRef50_Q03B86, UniRef:UniRef90_Q03B86
contig_4	67831	68010	-	LPARA_01586	6.8	4.9		RefSeq:WP_003583702.1, SO:0001217, UniParc:UPI00019C9BF3, UniRef:UniRef100_A0A0C9Q0E7, UniRef:UniRef50_Q03B90, UniRef:UniRef90_Q03B90
contig_4	71120	71353	+	LPARA_01590	8.8	4.7		RefSeq:WP_016384889.1, SO:0001217, UniParc:UPI0003439CF2, UniRef:UniRef100_A0AAX3CG31, UniRef:UniRef50_A0A1S2AKX1, UniRef:UniRef90_A0A1S2AKX1
contig_4	72402	72545	-	LPARA_01592	5.4	5.8		RefSeq:WP_003563758.1, SO:0001217, UniParc:UPI0000E567B3, UniRef:UniRef100_Q03B97, UniRef:UniRef50_Q03B97, UniRef:UniRef90_Q03B97
contig_4	83034	83228	+	LPARA_01602	7.6	10.5		RefSeq:WP_016384894.1, SO:0001217, UniParc:UPI000343B295, UniRef:UniRef100_UPI000343B295, UniRef:UniRef50_Q03BA7, UniRef:UniRef90_Q03BA7
contig_4	105950	106099	+	LPARA_01621	5.3	4.1		
contig_4	107260	107418	+	LPARA_01624	5.5	4.1		SO:0001217, UniRef:UniRef50_UPI0023494706, UniRef:UniRef90_UPI0023494706
contig_4	107880	108068	+	LPARA_01626	7.1	5.0		
contig_4	108592	108780	+	LPARA_01627	7.2	8.0		RefSeq:WP_016368790.1, SO:0001217, UniParc:UPI000343EBD5, UniRef:UniRef100_A0A829GVD7, UniRef:UniRef50_A0A829GVD7, UniRef:UniRef90_A0A829GVD7
contig_4	109538	109768	-	LPARA_01629	8.5	6.5		SO:0001217, UniRef:UniRef50_A0A422MDE5, UniRef:UniRef90_A0A422MDE5
contig_4	292781	293041	+	LPARA_01777	9.5	10.4		RefSeq:WP_016384096.1, SO:0001217, UniParc:UPI000343A51A, UniRef:UniRef100_UPI000343A51A, UniRef:UniRef50_A0A0M6WA23, UniRef:UniRef90_A0A0M6WA23
contig_4	294696	295049	-	LPARA_01780	12.2	4.2		
contig_4	299809	299913	-	LPARA_01784	4.2	9.5		
contig_5	21970	22098	-	LPARA_01856	4.9	9.1		
contig_5	23586	23696	-	LPARA_01861	4.1	4.2		SO:0001217, UniRef:UniRef50_A0A8B3GTK4, UniRef:UniRef90_A0A8B3GTK4
contig_5	30798	30917	-	LPARA_01873	4.5	9.6		SO:0001217, UniRef:UniRef50_A0A0P0I7L5
contig_5	30905	31033	-	LPARA_01874	4.6	8.3		RefSeq:WP_003581996.1, SO:0001217, UniParc:UPI0002984168, UniRef:UniRef100_S2NY22, UniRef:UniRef50_Q037A3, UniRef:UniRef90_Q037A3
contig_5	31860	32006	-	LPARA_01877	5.6	4.1		RefSeq:WP_012491434.1, SO:0001217, UniParc:UPI000176A57A, UniRef:UniRef100_A0A1B0YC03, UniRef:UniRef50_A0A1B0YC03, UniRef:UniRef90_A0A1B0YC03
contig_5	36243	36446	+	LPARA_01886	7.7	6.8		SO:0001217, UniRef:UniRef50_Q036Z0, UniRef:UniRef90_A0A826HHW0
contig_5	65593	66333	-	LPARA_01910	28.2	7.0		RefSeq:WP_032791365.1, SO:0001217, UniParc:UPI0003A2766A, UniRef:UniRef100_UPI0003A2766A, UniRef:UniRef50_UPI0003A2766A, UniRef:UniRef90_UPI0003A2766A
contig_5	71585	72322	-	LPARA_01915	27.3	9.3		RefSeq:WP_032791363.1, SO:0001217, UniParc:UPI000515C892, UniRef:UniRef100_UPI000515C892, UniRef:UniRef50_A0A422LBN6, UniRef:UniRef90_A0A422LBN6
contig_5	72941	76105	-	LPARA_01916	102.7	4.6		
contig_5	76102	83319	-	LPARA_01917	249.5	4.5	PF02389.20|Cornifin	PFAM:PF02389.20
contig_5	83919	84785	-	LPARA_01918	32.7	5.0		RefSeq:WP_016384202.1, SO:0001217, UniParc:UPI000343E97C, UniRef:UniRef100_UPI000343E97C, UniRef:UniRef50_A0A5R8M1V0, UniRef:UniRef90_UPI000343E97C
contig_5	112735	113457	-	LPARA_01943	26.9	11.1		RefSeq:WP_016384939.1, SO:0001217, UniParc:UPI0003436683, UniRef:UniRef100_UPI0003436683, UniRef:UniRef90_A0A826HTF9
contig_5	141447	141635	-	LPARA_01969	6.9	9.3		SO:0001217, UniParc:UPI000918D37B, UniRef:UniRef100_A0A422MJ69, UniRef:UniRef50_A0A422MCC3, UniRef:UniRef90_A0A422MCC3
contig_5	144282	144458	+	LPARA_01973	6.4	8.0		RefSeq:WP_003564455.1, SO:0001217, UniParc:UPI0000510D07, UniRef:UniRef100_Q03AC8, UniRef:UniRef50_Q03AC8, UniRef:UniRef90_Q03AC8
contig_5	146294	146797	-	LPARA_01976	18.8	9.7		RefSeq:WP_016374798.1, SO:0001217, UniParc:UPI000343E7B1, UniRef:UniRef100_S2RC98, UniRef:UniRef50_Q03AD1, UniRef:UniRef90_Q03AD1
contig_5	152048	152356	+	LPARA_01984	11.2	4.5		RefSeq:WP_003569727.1, SO:0001217, UniParc:UPI000176AC44, UniRef:UniRef100_A0A1J3C5X7, UniRef:UniRef50_Q03AD9, UniRef:UniRef90_Q03AD9
contig_5	169121	169261	+	LPARA_02003	5.5	6.4		RefSeq:WP_003658460.1, SO:0001217, UniParc:UPI0001A5DBDC, UniRef:UniRef100_S4ZRH3, UniRef:UniRef50_S4ZRH3, UniRef:UniRef90_S4ZRH3
contig_5	180627	180821	+	LPARA_02012	7.1	9.8		RefSeq:WP_016384498.1, SO:0001217, UniParc:UPI0003435B18, UniRef:UniRef100_UPI0003435B18, UniRef:UniRef50_Q03AG5, UniRef:UniRef90_Q03AG5
contig_5	193336	193440	-	LPARA_02024	4.0	10.7		SO:0001217, UniParc:UPI0000E5680B, UniRef:UniRef100_Q03AH8, UniRef:UniRef50_Q03AH8, UniRef:UniRef90_Q03AH8
contig_5	204729	205031	-	LPARA_02037	11.7	9.4		RefSeq:WP_003604745.1, SO:0001217, UniParc:UPI000297D900, UniRef:UniRef100_A0A829TD18, UniRef:UniRef50_A0A806EXK4, UniRef:UniRef90_A0A829TD18
contig_5	223761	224084	-	LPARA_02051	11.6	9.1		
contig_5	233545	233790	+	LPARA_02060	9.1	9.2		SO:0001217, UniRef:UniRef50_A0A422M7Q0, UniRef:UniRef90_A0A422M7Q0
contig_5	309037	309150	-	LPARA_02130	4.0	8.0		SO:0001217, UniParc:UPI000920753F, UniRef:UniRef100_A0A422MIU6, UniRef:UniRef50_A0A422MIU6, UniRef:UniRef90_A0A422MIU6
contig_6	6697	7287	+	LPARA_02156	22.1	6.3		RefSeq:WP_016384579.1, SO:0001217, UniParc:UPI000343C2E6, UniRef:UniRef100_UPI000343C2E6, UniRef:UniRef50_C2JZN9, UniRef:UniRef90_Q036N7
contig_6	19037	19603	-	LPARA_02166	20.9	4.9		SO:0001217, UniRef:UniRef50_A0A7Y7UHJ5, UniRef:UniRef90_Q036P8
contig_6	49968	50378	+	LPARA_02194	15.5	9.4		
contig_6	62574	62714	-	LPARA_02203	5.3	7.9		
contig_6	141331	142095	-	LPARA_02267	28.9	5.9		RefSeq:WP_032791398.1, SO:0001217, UniParc:UPI0003A6919D, UniRef:UniRef100_UPI0003A6919D, UniRef:UniRef50_UPI0003A6919D, UniRef:UniRef90_UPI0003A6919D
contig_6	142944	144398	-	LPARA_02268	55.8	5.4		RefSeq:WP_032791399.1, SO:0001217, UniParc:UPI00039DCB93, UniRef:UniRef100_UPI00039DCB93, UniRef:UniRef50_UPI00039DCB93, UniRef:UniRef90_UPI00039DCB93
contig_6	145413	145553	+	LPARA_02269	5.0	4.8		
