# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	33833	35323	-	LPARA_00031	iolT	IolT	RefSeq:WP_003562977.1, SO:0001217, UniParc:UPI0002980B5A, UniRef:UniRef100_A0AAP9KU99, UniRef:UniRef50_D3L7V3, UniRef:UniRef90_A5YBJ2
contig_1	cds	35867	36673	+	LPARA_00032	iolR	IolR	KEGG:K06608, RefSeq:WP_003577404.1, SO:0001217, UniParc:UPI0001E55FAA, UniRef:UniRef100_E1U857, UniRef:UniRef50_A5YBJ1, UniRef:UniRef90_A5YBJ1
contig_1	cds	36860	37720	-	LPARA_00033	aRA1	Glyoxal reductase	COG:COG0656, COG:Q, RefSeq:WP_003577403.1, SO:0001217, UniParc:UPI0002977933, UniRef:UniRef100_A0A1V0Q6T5, UniRef:UniRef50_A0A2N9DSX2, UniRef:UniRef90_A0A422M850
contig_1	cds	37917	38669	-	LPARA_00034		Amino acid racemase	RefSeq:WP_003597197.1, SO:0001217, UniParc:UPI000297D2C9, UniRef:UniRef100_A0A422M855, UniRef:UniRef50_Q1G8B6, UniRef:UniRef90_A0AA50I4T8
contig_1	cds	38675	40228	-	LPARA_00035	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	COG:COG0769, COG:M, EC:6.3.2.-, EC:6.3.2.13, GO:0000287, GO:0005524, GO:0005737, GO:0008360, GO:0009252, GO:0016881, GO:0051301, GO:0071555, RefSeq:WP_003577401.1, SO:0001217, UniParc:UPI00029854FD, UniRef:UniRef100_A0A1V0Q788, UniRef:UniRef50_Q03CI6, UniRef:UniRef90_Q03CI6
contig_1	cds	40370	40837	-	LPARA_00036	greA	transcription elongation factor GreA	GO:0003677, GO:0032784, GO:0070063, SO:0001217, UniRef:UniRef50_Q03CI7, UniRef:UniRef90_Q03CI7
contig_1	cds	40969	42279	-	LPARA_00037		serine-type D-Ala-D-Ala carboxypeptidase	EC:3.4.16.4, KEGG:K07258, RefSeq:WP_003562961.1, SO:0001217, UniParc:UPI00005111CF, UniRef:UniRef100_Q03CI8, UniRef:UniRef50_Q03CI8, UniRef:UniRef90_Q03CI8
contig_1	cds	42276	43466	-	LPARA_00038	walK	histidine kinase	COG:COG5002, COG:T, RefSeq:WP_016385010.1, SO:0001217, UniParc:UPI00034371BE, UniRef:UniRef100_UPI00034371BE, UniRef:UniRef50_A0A0R1NAK1, UniRef:UniRef90_Q03CI9
contig_1	cds	43472	44158	-	LPARA_00039	ompR	DNA-binding response regulator, OmpR family (Rec-wHTH domains)	COG:COG0745, COG:TK, RefSeq:WP_003562957.1, SO:0001217, UniParc:UPI000176A4C0, UniRef:UniRef100_A0A0K1KW72, UniRef:UniRef50_A0A1D7ZX63, UniRef:UniRef90_Q03CJ0
contig_1	cds	44313	44993	+	LPARA_00040		hypothetical protein	RefSeq:WP_003573122.1, SO:0001217, UniParc:UPI00019C9722, UniRef:UniRef100_A0A1V0Q6M8, UniRef:UniRef50_Q03CJ1, UniRef:UniRef90_Q03CJ1
contig_1	cds	45075	46562	-	LPARA_00041	guaB	IMP dehydrogenase	COG:COG3448, COG:T, EC:1.1.1.205, GO:0003938, GO:0006164, RefSeq:WP_003562953.1, SO:0001217, UniParc:UPI0000E56707, UniRef:UniRef100_Q03CJ2, UniRef:UniRef50_P0DB88, UniRef:UniRef90_Q03CJ2
contig_1	cds	46939	47760	-	LPARA_00042		putative membrane-bound protein conserved in bacteria	RefSeq:WP_012490849.1, SO:0001217, UniParc:UPI000176A4BE, UniRef:UniRef100_A0A5Q8BVJ9, UniRef:UniRef50_A0A4V1P1S1, UniRef:UniRef90_Q03CJ3
contig_1	cds	47792	48814	-	LPARA_00043	ychF	redox-regulated ATPase YchF	COG:COG0012, COG:J, GO:0005524, GO:0005525, GO:0016887, SO:0001217, UniParc:UPI0002FCEDEA, UniRef:UniRef100_A0A1S2AEG3, UniRef:UniRef50_P37518, UniRef:UniRef90_Q03CJ4
contig_1	cds	48930	49112	-	LPARA_00044		DUF951 domain-containing protein	RefSeq:WP_003562948.1, SO:0001217, UniParc:UPI000051129D, UniRef:UniRef100_Q03CJ5, UniRef:UniRef90_Q03CJ5
contig_1	cds	49277	50149	-	LPARA_00045	spo0J	ParB/RepB/Spo0J family partition protein	COG:COG1475, COG:D, KEGG:K03497, RefSeq:WP_003562946.1, SO:0001217, UniParc:UPI0000E56706, UniRef:UniRef100_Q03CJ6, UniRef:UniRef50_E4KR48, UniRef:UniRef90_A0AA50I240
contig_1	cds	50139	50906	-	LPARA_00046	parA	Chromosome segregation ATPase	COG:COG1192, COG:DN, RefSeq:WP_003562943.1, SO:0001217, UniParc:UPI000051129A, UniRef:UniRef100_Q03CJ7, UniRef:UniRef50_P37522, UniRef:UniRef90_Q03CJ7
contig_1	cds	50916	51746	-	LPARA_00047	noc	nucleoid occlusion protein	GO:0032466, GO:0043565, KEGG:K03497, RefSeq:WP_003562941.1, SO:0001217, UniParc:UPI000197849B, UniRef:UniRef100_A0A0K1MR48, UniRef:UniRef50_A0A0D6U9B6, UniRef:UniRef90_A0A0K1MR48
contig_1	cds	51750	52481	-	LPARA_00048	rsmG	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	EC:2.1.1.-, EC:2.1.1.170, GO:0005829, GO:0008168, GO:0031167, GO:0046118, GO:0070043, KEGG:K03501, RefSeq:WP_003577395.1, SO:0001217, UniParc:UPI0000E56705, UniRef:UniRef100_Q03CJ9, UniRef:UniRef50_Q88T09, UniRef:UniRef90_Q03CJ9
contig_1	cds	52793	53173	+	LPARA_00049		hypothetical protein	RefSeq:WP_003562937.1, SO:0001217, UniParc:UPI000176A437, UniRef:UniRef100_K6R1Y9, UniRef:UniRef50_Q03CK0, UniRef:UniRef90_Q03CK0
contig_1	cds	53306	53977	+	LPARA_00050	gatD	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD	COG:COG3442, COG:R, EC:6.3.5.13, KEGG:K07009, RefSeq:WP_003573114.1, SO:0001217, UniParc:UPI0000511296, UniRef:UniRef100_Q03CK1, UniRef:UniRef50_A0A0F4KSK6, UniRef:UniRef90_A0A829GIF2
contig_1	cds	54057	54677	-	LPARA_00051		putative dinucleotide-binding enzyme	RefSeq:WP_016385011.1, SO:0001217, UniParc:UPI0003433BF8, UniRef:UniRef100_UPI0003433BF8, UniRef:UniRef50_A0A0R1XES6, UniRef:UniRef90_Q03CK2
contig_1	cds	54825	55472	-	LPARA_00052	pcp	pyroglutamyl-peptidase I	EC:3.4.19.3, GO:0005829, GO:0006508, GO:0008234, GO:0016920, KEGG:K01304, RefSeq:WP_016385012.1, SO:0001217, UniParc:UPI000343B4D9, UniRef:UniRef100_UPI000343B4D9, UniRef:UniRef50_P65679, UniRef:UniRef90_O87765
contig_1	cds	55488	56402	-	LPARA_00053		DUF979 domain-containing protein	COG:COG3817, COG:S, RefSeq:WP_016385013.1, SO:0001217, UniParc:UPI0003434EE3, UniRef:UniRef100_UPI0003434EE3, UniRef:UniRef50_A0A0D6A113, UniRef:UniRef90_A0A809MW38
contig_1	cds	56405	57082	-	LPARA_00054		Permease	COG:COG3819, COG:S, RefSeq:WP_003577392.1, SO:0001217, UniParc:UPI0001DBDE1D, UniRef:UniRef100_A0A0K1KW61, UniRef:UniRef50_I7KKP6, UniRef:UniRef90_A0A1B2J303
contig_1	cds	57390	57815	-	LPARA_00055		Stress response regulator gls24-like protein	RefSeq:WP_003562920.1, SO:0001217, UniParc:UPI0000E56702, UniRef:UniRef100_Q03CK6, UniRef:UniRef50_A0A0R2CGY1, UniRef:UniRef90_Q03CK6
contig_1	cds	57850	58263	-	LPARA_00056		Stress response regulator gls24-like protein	RefSeq:WP_003562918.1, SO:0001217, UniParc:UPI0000E56701, UniRef:UniRef100_Q03CK7, UniRef:UniRef50_Q03CK7, UniRef:UniRef90_Q03CK7
contig_1	cds	58272	58469	-	LPARA_00057		Small integral membrane protein	RefSeq:WP_003562916.1, SO:0001217, UniParc:UPI0000E56700, UniRef:UniRef100_Q03CK8, UniRef:UniRef50_Q03CK8, UniRef:UniRef90_Q03CK8
contig_1	cds	58572	59111	-	LPARA_00058	amaP	alkaline shock response membrane anchor protein AmaP	RefSeq:WP_003562913.1, SO:0001217, UniParc:UPI0000E566FF, UniRef:UniRef100_Q03CK9, UniRef:UniRef50_Q03CK9, UniRef:UniRef90_Q03CK9
contig_1	cds	59125	59382	-	LPARA_00059		GlsB/YeaQ/YmgE family stress response membrane protein	RefSeq:WP_003562911.1, SO:0001217, UniParc:UPI000051138B, UniRef:UniRef100_Q03CL0, UniRef:UniRef50_Q9CEF0, UniRef:UniRef90_A0A0R1F3C0
contig_1	cds	59615	60016	-	LPARA_00060		Pyridoxamine 5'-phosphate oxidase N-terminal domain-containing protein	COG:COG3576, COG:R, KEGG:K07006, RefSeq:WP_003562908.1, SO:0001217, UniParc:UPI000051138C, UniRef:UniRef100_Q03CL1, UniRef:UniRef50_A0A0R1XJB9, UniRef:UniRef90_A0A422LZ08
contig_1	cds	60540	61502	+	LPARA_00061		Lactate dehydrogenase related enzyme	RefSeq:WP_003562906.1, SO:0001217, UniParc:UPI000051138D, UniRef:UniRef100_Q03CL2, UniRef:UniRef50_Q49ZM5, UniRef:UniRef90_Q03CL2
contig_1	cds	61602	61796	-	LPARA_00062		DUF3188 domain-containing protein	RefSeq:WP_003562904.1, SO:0001217, UniParc:UPI000051138E, UniRef:UniRef100_Q03CL3, UniRef:UniRef50_A0A0E3CPI8, UniRef:UniRef90_Q03CL3
contig_1	cds	61793	62035	-	LPARA_00063		Phage protein	RefSeq:WP_003562902.1, SO:0001217, UniParc:UPI0000E566FE, UniRef:UniRef100_Q03CL4, UniRef:UniRef50_Q03CL4, UniRef:UniRef90_Q03CL4
contig_1	cds	62083	62550	-	LPARA_00064		Flavodoxin	RefSeq:WP_003577391.1, SO:0001217, UniParc:UPI0000511390, UniRef:UniRef100_Q03CL5, UniRef:UniRef50_Q03CL5, UniRef:UniRef90_Q03CL5
contig_1	cds	62718	63023	-	LPARA_00065		hypothetical protein	RefSeq:WP_003562898.1, SO:0001217, UniParc:UPI0000511391, UniRef:UniRef100_Q03CL6, UniRef:UniRef50_Q03CL6, UniRef:UniRef90_Q03CL6
contig_1	cds	63180	63686	+	LPARA_00066		Membrane protein	RefSeq:WP_003562896.1, SO:0001217, UniParc:UPI0001978146, UniRef:UniRef100_S4ZIT6, UniRef:UniRef50_Q03CL7, UniRef:UniRef90_Q03CL7
contig_1	cds	63935	64141	+	LPARA_00067		XRE family transcriptional regulator	RefSeq:WP_003562894.1, SO:0001217, UniParc:UPI0000E566FC, UniRef:UniRef100_Q03CL8, UniRef:UniRef50_Q03CL8, UniRef:UniRef90_Q03CL8
contig_1	cds	64229	64603	-	LPARA_00068		putative membrane protein	RefSeq:WP_003562878.1, SO:0001217, UniParc:UPI0000511394, UniRef:UniRef100_Q03CL9, UniRef:UniRef50_Q9CDK2, UniRef:UniRef90_Q03CL9
contig_1	cds	64603	65445	-	LPARA_00069	tauE	putative membrane transporter protein	COG:COG0730, COG:P, RefSeq:WP_003597171.1, SO:0001217, UniParc:UPI000297E6BA, UniRef:UniRef100_A0A1S2AEC5, UniRef:UniRef50_Q9CDK1, UniRef:UniRef90_Q03CM0
contig_1	cds	65570	66883	-	LPARA_00070		TPM domain-containing protein	RefSeq:WP_016376470.1, SO:0001217, UniParc:UPI0003172A8E, UniRef:UniRef100_A0A806L4T0, UniRef:UniRef50_A0A806L4T0, UniRef:UniRef90_A0A806L4T0
contig_1	cds	67069	67701	-	LPARA_00071		hypothetical protein	RefSeq:WP_003562871.1, SO:0001217, UniParc:UPI00005111AA, UniRef:UniRef100_Q03CM2, UniRef:UniRef50_Q03CM2, UniRef:UniRef90_Q03CM2
contig_1	cds	67712	69073	-	LPARA_00072		NADH oxidase	RefSeq:WP_016385015.1, SO:0001217, UniParc:UPI000343A5B7, UniRef:UniRef100_UPI000343A5B7, UniRef:UniRef50_F9UPR1, UniRef:UniRef90_A0A806DZD4
contig_1	cds	69219	71060	+	LPARA_00073		FAD-dependent urate hydroxylase HpyO/Asp monooxygenase CreE-like FAD/NAD(P)-binding domain-containing protein	EC:1.14.13.248, KEGG:K25562, RefSeq:WP_016385016.1, SO:0001217, UniParc:UPI000343854F, UniRef:UniRef100_UPI000343854F, UniRef:UniRef50_A0A422M809, UniRef:UniRef90_A0A829GS97
contig_1	cds	71527	72420	-	LPARA_00074		Transcriptional regulator, xre family	RefSeq:WP_016385017.1, SO:0001217, UniParc:UPI0003435000, UniRef:UniRef100_UPI0003435000, UniRef:UniRef50_Q03CM5, UniRef:UniRef90_Q03CM5
contig_1	cds	72535	74115	+	LPARA_00075		Putative multidrug export ATP-binding/permease protein	RefSeq:WP_016385018.1, SO:0001217, UniParc:UPI0003436857, UniRef:UniRef100_UPI0003436857, UniRef:UniRef50_A0A422MET7, UniRef:UniRef90_A0A422MET7
contig_1	cds	74335	75471	-	LPARA_00076		Bacterial archaeo-eukaryotic release factor family 6 domain-containing protein	SO:0001217, UniParc:UPI000297ADA2, UniRef:UniRef100_Q03CM8, UniRef:UniRef50_Q03CM8, UniRef:UniRef90_Q03CM8
contig_1	cds	75628	76095	-	LPARA_00077		NUDIX family hydrolase	RefSeq:WP_016385019.1, SO:0001217, UniParc:UPI000343B0E0, UniRef:UniRef100_A0A422MEK4, UniRef:UniRef50_S2NAG2, UniRef:UniRef90_S2NAG2
contig_1	cds	76144	76620	-	LPARA_00078		DNA polymerase III PolC-type N-terminal domain-containing protein	RefSeq:WP_003592764.1, SO:0001217, UniParc:UPI00005111B1, UniRef:UniRef100_Q03CN0, UniRef:UniRef50_A0A0R1F1I2, UniRef:UniRef90_A0A806L332
contig_1	cds	76617	77291	-	LPARA_00079		Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IID, with ABC-type ATPase domain	RefSeq:WP_003592762.1, SO:0001217, UniParc:UPI000297E075, UniRef:UniRef100_Q03CN1, UniRef:UniRef50_Q03CN1, UniRef:UniRef90_Q03CN1
contig_1	cds	77272	78006	-	LPARA_00080		PTS mannose transporter subunit IID	RefSeq:WP_032791441.1, SO:0001217, UniParc:UPI0003A5A232, UniRef:UniRef100_UPI0003A5A232, UniRef:UniRef50_A0A806L4S5, UniRef:UniRef90_A0A806L4S5
contig_1	cds	78012	78716	-	LPARA_00081		ABC transporter permease	RefSeq:WP_016385020.1, SO:0001217, UniParc:UPI000343AADF, UniRef:UniRef100_UPI000343AADF, UniRef:UniRef50_A0A5R8LRE9, UniRef:UniRef90_A0A829H0Q2
contig_1	cds	78720	79508	-	LPARA_00082		ABC transporter permease	RefSeq:WP_016385021.1, SO:0001217, UniParc:UPI000343A25F, UniRef:UniRef100_S2NAN5, UniRef:UniRef50_A0A5R8LRI2, UniRef:UniRef90_Q03CN3
contig_1	cds	79911	81536	-	LPARA_00083	oppA	ABC-type oligopeptide transport system, periplasmic component	COG:COG4166, COG:E, KEGG:K15580, RefSeq:WP_003562852.1, SO:0001217, UniParc:UPI000176AD38, UniRef:UniRef100_A0A1J3C2N5, UniRef:UniRef50_Q03CN4, UniRef:UniRef90_Q03CN4
contig_1	cds	81781	84162	-	LPARA_00084	xFP	putative phosphoketolase	COG:COG3957, COG:G, RefSeq:WP_003562849.1, SO:0001217, UniParc:UPI0000E566F4, UniRef:UniRef100_Q03CN5, UniRef:UniRef50_Q9CFH4, UniRef:UniRef90_C2JTC4
contig_1	cds	84422	84568	+	LPARA_00085		Methanol dehydrogenase	RefSeq:WP_003562847.1, SO:0001217, UniParc:UPI0000E566F3, UniRef:UniRef100_Q03CN6, UniRef:UniRef50_A0A7Y7QEZ8, UniRef:UniRef90_Q03CN6
contig_1	cds	84836	86284	+	LPARA_00086		Permease of the major facilitator superfamily	RefSeq:WP_003597150.1, SO:0001217, UniParc:UPI000297659D, UniRef:UniRef100_A0A422M9D9, UniRef:UniRef50_U4TZ93, UniRef:UniRef90_Q03CN7
contig_1	cds	86484	87053	+	LPARA_00087		HTH tetR-type domain-containing protein	RefSeq:WP_016385022.1, SO:0001217, UniParc:UPI0003435662, UniRef:UniRef100_UPI0003435662, UniRef:UniRef50_A0A0R2B627, UniRef:UniRef90_A0A422LYY9
contig_1	cds	87060	90005	+	LPARA_00088		ABC-2 type transporter transmembrane domain-containing protein	KEGG:K01421, RefSeq:WP_016385023.1, SO:0001217, UniParc:UPI00034336CD, UniRef:UniRef100_UPI00034336CD, UniRef:UniRef50_A0A8E0M213, UniRef:UniRef90_A0A8E0M213
contig_1	cds	90056	90352	-	LPARA_00089		Thiamine-binding protein domain-containing protein	RefSeq:WP_003562840.1, SO:0001217, UniParc:UPI0001977E05, UniRef:UniRef100_S4ZHI6, UniRef:UniRef50_D5T0D0, UniRef:UniRef90_Q03CN9
contig_1	cds	90407	91135	-	LPARA_00090		DNA-3-methyladenine glycosylase III	KEGG:K07457, RefSeq:WP_003562837.1, SO:0001217, UniParc:UPI0000510F93, UniRef:UniRef100_Q03CP0, UniRef:UniRef50_U4TQW2, UniRef:UniRef90_Q03CP0
contig_1	cds	91351	92175	+	LPARA_00091		Serine/threonine-protein phosphatase 1	RefSeq:WP_016385024.1, SO:0001217, UniParc:UPI000343936A, UniRef:UniRef100_UPI000343936A, UniRef:UniRef50_A0A422LYR8, UniRef:UniRef90_A0A422LYR8
contig_1	cds	92276	93466	-	LPARA_00092	ackA	Acetate kinase	COG:C, COG:COG0282, EC:2.7.2.1, GO:0000287, GO:0005524, GO:0005737, GO:0006083, GO:0006085, GO:0008776, KEGG:K00925, RefSeq:WP_003583008.1, SO:0001217, UniParc:UPI0002985E3C, UniRef:UniRef100_S2RSK2, UniRef:UniRef50_Q88V41, UniRef:UniRef90_Q03CP2
contig_1	cds	93524	94870	-	LPARA_00093	rarA	Replication-associated recombination protein A	COG:COG2256, COG:L, KEGG:K07478, RefSeq:WP_003562821.1, SO:0001217, UniParc:UPI0000510F96, UniRef:UniRef100_Q03CP3, UniRef:UniRef50_A0A7U9R274, UniRef:UniRef90_A0A5R8LMZ5
