## Sun May  3 20:22:47 2026
## emapper-2.1.13
## /home/probiominserver/anaconda3/envs/eggnog-mapper/bin/emapper.py -i ./temp/20260503-wvUp-se8q-xNMC7EYi/0.contigAnn/prokka_result.faa --temp_dir ./temp/20260503-wvUp-se8q-xNMC7EYi/2.eggNOGmapper --output_dir ./temp/20260503-wvUp-se8q-xNMC7EYi/2.eggNOGmapper --output eggNOG_out --cpu 24 --sensmode fast -m diamond --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
ELMOCPCJ_00012	543734.LCABL_02440	0.0	1189.0	COG1164@1|root,COG1164@2|Bacteria,1TP4P@1239|Firmicutes,4HA7X@91061|Bacilli,3F4E5@33958|Lactobacillaceae	91061|Bacilli	E	oligoendopeptidase F	pepF	GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006465,GO:0006508,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009987,GO:0010467,GO:0016485,GO:0016787,GO:0019538,GO:0034641,GO:0043170,GO:0043603,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0051604,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	ko:K08602	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M3,Peptidase_M3_N
ELMOCPCJ_00013	543734.LCABL_02430	1.02e-203	564.0	COG2084@1|root,COG2084@2|Bacteria,1TR4F@1239|Firmicutes,4H9MA@91061|Bacilli,3F3XC@33958|Lactobacillaceae	91061|Bacilli	I	Dehydrogenase	glxR	-	1.1.1.31	ko:K00020	ko00280,ko01100,map00280,map01100	-	R05066	RC00099	ko00000,ko00001,ko01000	-	-	-	NAD_binding_11,NAD_binding_2
ELMOCPCJ_00014	543734.LCABL_02420	4.06e-209	577.0	COG0639@1|root,COG0639@2|Bacteria,1UZK9@1239|Firmicutes,4HG1F@91061|Bacilli,3F5JR@33958|Lactobacillaceae	91061|Bacilli	T	Calcineurin-like phosphoesterase superfamily domain	prpA3	-	3.1.3.16	ko:K01090	-	-	-	-	ko00000,ko01000	-	-	-	Metallophos_2
ELMOCPCJ_00015	543734.LCABL_02410	4.91e-172	482.0	COG1108@1|root,COG1108@2|Bacteria,1V0SX@1239|Firmicutes,4HE09@91061|Bacilli,3F4BC@33958|Lactobacillaceae	91061|Bacilli	U	ABC 3 transport family	znuB	-	-	ko:K02075,ko:K09816	ko02010,map02010	M00242,M00244	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.15,3.A.1.15.3,3.A.1.15.5	-	-	ABC-3
ELMOCPCJ_00016	543734.LCABL_02400	3.39e-166	465.0	COG1121@1|root,COG1121@2|Bacteria,1TQ68@1239|Firmicutes,4HAZI@91061|Bacilli,3F49M@33958|Lactobacillaceae	91061|Bacilli	P	ABC transporter	adcC	-	-	ko:K02074,ko:K09817,ko:K11710	ko02010,map02010	M00242,M00244,M00319	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.15,3.A.1.15.3,3.A.1.15.5	-	iYO844.BSU02860	ABC_tran
ELMOCPCJ_00017	543734.LCABL_02390	5.32e-75	224.0	2CICD@1|root,3462T@2|Bacteria,1VZWZ@1239|Firmicutes,4HY4B@91061|Bacilli,3F6T8@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ELMOCPCJ_00018	543734.LCABL_02290	3.96e-271	748.0	COG2610@1|root,COG2610@2|Bacteria,1TQ14@1239|Firmicutes,4HB0Y@91061|Bacilli,3F3V0@33958|Lactobacillaceae	91061|Bacilli	EG	Gluconate	gntP	-	-	ko:K03299	-	-	-	-	ko00000,ko02000	2.A.8	-	-	GntP_permease
ELMOCPCJ_00019	543734.LCABL_02280	0.0	1043.0	COG1070@1|root,COG1070@2|Bacteria,1TQ1I@1239|Firmicutes,4H9W6@91061|Bacilli,3F4R2@33958|Lactobacillaceae	91061|Bacilli	G	Belongs to the FGGY kinase family	gntK	-	2.7.1.12	ko:K00851	ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map01100,map01110,map01120,map01130,map01200	-	R01737	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	-	FGGY_C,FGGY_N
ELMOCPCJ_00020	543734.LCABL_02270	1.73e-215	595.0	COG1023@1|root,COG1023@2|Bacteria,1UHN4@1239|Firmicutes,4IS44@91061|Bacilli,3F4X7@33958|Lactobacillaceae	91061|Bacilli	G	Dehydrogenase	gntZ	-	1.1.1.343,1.1.1.44	ko:K00033	ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map00480,map01100,map01110,map01120,map01130,map01200	M00004,M00006	R01528,R10221	RC00001,RC00539	ko00000,ko00001,ko00002,ko01000	-	-	-	6PGD,NAD_binding_2
ELMOCPCJ_00021	543734.LCABL_02260	1.42e-183	512.0	COG1737@1|root,COG1737@2|Bacteria,1TR0N@1239|Firmicutes,4HB9E@91061|Bacilli,3F42G@33958|Lactobacillaceae	91061|Bacilli	K	rpiR family	gntR	-	-	-	-	-	-	-	-	-	-	-	HTH_6,SIS
ELMOCPCJ_00022	543734.LCABL_02250	3.53e-87	256.0	COG1942@1|root,COG1942@2|Bacteria,1V3SS@1239|Firmicutes,4HI9G@91061|Bacilli,3F6UD@33958|Lactobacillaceae	91061|Bacilli	S	Tautomerase enzyme	yodA	-	-	-	-	-	-	-	-	-	-	-	Tautomerase_2
ELMOCPCJ_00023	543734.LCABL_02240	1.02e-197	549.0	COG0191@1|root,COG0191@2|Bacteria,1TQ01@1239|Firmicutes,4H9ZU@91061|Bacilli,3F9NW@33958|Lactobacillaceae	91061|Bacilli	G	Fructose-bisphosphate aldolase class-II	iolJ	-	4.1.2.13,4.1.2.29	ko:K01624,ko:K03339	ko00010,ko00030,ko00051,ko00562,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00562,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00003,M00165,M00167,M00344,M00345	R01068,R01070,R01829,R02568,R05378	RC00438,RC00439,RC00603,RC00604,RC00721	ko00000,ko00001,ko00002,ko01000	-	-	iYO844.BSU39670	F_bP_aldolase
ELMOCPCJ_00024	543734.LCABL_02230	1e-220	608.0	COG1082@1|root,COG1082@2|Bacteria,1TPZ2@1239|Firmicutes,4HCIM@91061|Bacilli,3F5FP@33958|Lactobacillaceae	91061|Bacilli	G	Catalyzes the dehydration of inosose (2-keto-myo- inositol, 2KMI or 2,4,6 3,5-pentahydroxycyclohexanone) to 3D- (3,5 4)-trihydroxycyclohexane-1,2-dione (D-2,3-diketo-4-deoxy-epi- inositol)	iolE	-	4.2.1.44	ko:K03335	ko00562,ko01100,ko01120,map00562,map01100,map01120	-	R02782,R05659	RC00782,RC01448	ko00000,ko00001,ko01000	-	-	-	AP_endonuc_2
ELMOCPCJ_00025	543734.LCABL_02220	7.6e-246	676.0	COG0673@1|root,COG0673@2|Bacteria,1TQJX@1239|Firmicutes,4HAJ8@91061|Bacilli,3F5FQ@33958|Lactobacillaceae	91061|Bacilli	S	Oxidoreductase family, C-terminal alpha/beta domain	iolG2	-	1.1.1.18,1.1.1.369	ko:K00010	ko00521,ko00562,ko01100,ko01120,ko01130,map00521,map00562,map01100,map01120,map01130	-	R01183,R09951	RC00182	ko00000,ko00001,ko01000	-	-	-	GFO_IDH_MocA,GFO_IDH_MocA_C
ELMOCPCJ_00026	543734.LCABL_02210	1.86e-244	672.0	COG0673@1|root,COG0673@2|Bacteria,1U4A4@1239|Firmicutes,4HBTG@91061|Bacilli,3F94F@33958|Lactobacillaceae	91061|Bacilli	S	Oxidoreductase family, NAD-binding Rossmann fold	-	-	1.1.1.18,1.1.1.369	ko:K00010	ko00521,ko00562,ko01100,ko01120,ko01130,map00521,map00562,map01100,map01120,map01130	-	R01183,R09951	RC00182	ko00000,ko00001,ko01000	-	-	-	GFO_IDH_MocA
ELMOCPCJ_00027	543734.LCABL_02200	0.0	1255.0	COG3962@1|root,COG3962@2|Bacteria,1UI18@1239|Firmicutes,4HCPP@91061|Bacilli,3F9EH@33958|Lactobacillaceae	91061|Bacilli	E	Involved in the cleavage of the C1-C2 bond of 3D- (3,5 4)-trihydroxycyclohexane-1,2-dione (THcHDO) to yield 5-deoxy- glucuronate (5DG)	iolD	GO:0006629,GO:0006644,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009056,GO:0009395,GO:0009987,GO:0016042,GO:0019637,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0046434,GO:0071704,GO:1901575	3.7.1.22	ko:K03336	ko00562,ko01100,ko01120,map00562,map01100,map01120	-	R08603	RC02331	ko00000,ko00001,ko01000	-	-	iYO844.BSU39730	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N
ELMOCPCJ_00028	543734.LCABL_02190	5.41e-227	626.0	COG0524@1|root,COG0524@2|Bacteria,1TPGM@1239|Firmicutes,4HB78@91061|Bacilli,3FC23@33958|Lactobacillaceae	91061|Bacilli	H	Catalyzes the phosphorylation of 5-dehydro-2-deoxy-D- gluconate (2-deoxy-5-keto-D-gluconate or DKG) to 6-phospho-5- dehydro-2-deoxy-D-gluconate (DKGP)	iolC	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0006629,GO:0006644,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009056,GO:0009395,GO:0009987,GO:0016042,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0019200,GO:0019637,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044262,GO:0044424,GO:0044464,GO:0046434,GO:0046835,GO:0071704,GO:1901575	2.7.1.92	ko:K03338	ko00562,ko01100,ko01120,map00562,map01100,map01120	-	R05661	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	iYO844.BSU39740	PfkB
ELMOCPCJ_00029	543734.LCABL_02180	2.72e-197	546.0	COG3718@1|root,COG3718@2|Bacteria,1TR6M@1239|Firmicutes,4HCDY@91061|Bacilli,3F4TI@33958|Lactobacillaceae	91061|Bacilli	G	Involved in the isomerization of 5-deoxy-glucuronate (5DG) to 5-dehydro-2-deoxy-D-gluconate (DKG or 2-deoxy-5-keto-D- gluconate)	iolB	-	5.3.1.30	ko:K03337	ko00562,ko01100,ko01120,map00562,map01100,map01120	-	R08503	RC00541	ko00000,ko00001,ko01000	-	-	-	KduI
ELMOCPCJ_00030	543734.LCABL_02170	0.0	969.0	COG1012@1|root,COG1012@2|Bacteria,1TP4S@1239|Firmicutes,4H9MF@91061|Bacilli,3F47F@33958|Lactobacillaceae	91061|Bacilli	C	Belongs to the aldehyde dehydrogenase family	iolA	GO:0003674,GO:0003824,GO:0004491,GO:0006082,GO:0006520,GO:0006573,GO:0006574,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009081,GO:0009083,GO:0009987,GO:0016054,GO:0016491,GO:0016620,GO:0016903,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0055114,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606	1.2.1.18,1.2.1.27	ko:K00140	ko00280,ko00410,ko00562,ko00640,ko01100,ko01200,map00280,map00410,map00562,map00640,map01100,map01200	M00013	R00705,R00706,R00922,R00935	RC00004,RC02723,RC02817	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldedh
ELMOCPCJ_00031	543734.LCABL_02160	0.0	921.0	COG0477@1|root,COG2814@2|Bacteria,1TREV@1239|Firmicutes,4HAN1@91061|Bacilli,3F3ZS@33958|Lactobacillaceae	91061|Bacilli	EGP	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family	iolT	GO:0003674,GO:0005215,GO:0005351,GO:0005402,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008324,GO:0008643,GO:0015075,GO:0015077,GO:0015078,GO:0015144,GO:0015291,GO:0015293,GO:0015294,GO:0015295,GO:0015318,GO:0015672,GO:0022804,GO:0022857,GO:0022890,GO:0034219,GO:0034220,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0098655,GO:0098660,GO:0098662,GO:1902600	-	ko:K06609	-	-	-	-	ko00000,ko02000	2.A.1.1.26	-	-	Sugar_tr
ELMOCPCJ_00032	543734.LCABL_02150	8.33e-186	517.0	COG1349@1|root,COG1349@2|Bacteria,1TTGR@1239|Firmicutes,4HEVD@91061|Bacilli	91061|Bacilli	K	COG1349 Transcriptional regulators of sugar metabolism	iolR	-	-	ko:K06608,ko:K11534	-	-	-	-	ko00000,ko03000	-	-	-	DeoRC,HTH_DeoR
ELMOCPCJ_00033	543734.LCABL_02140	1.36e-209	578.0	COG0656@1|root,COG0656@2|Bacteria,1TPM1@1239|Firmicutes,4HARE@91061|Bacilli,3F3PW@33958|Lactobacillaceae	91061|Bacilli	C	Aldo keto reductase	yvgN	-	-	-	-	-	-	-	-	-	-	-	Aldo_ket_red
ELMOCPCJ_00034	543734.LCABL_02130	1.06e-179	500.0	COG1794@1|root,COG1794@2|Bacteria,1V34N@1239|Firmicutes,4HG8W@91061|Bacilli,3F3XZ@33958|Lactobacillaceae	91061|Bacilli	G	Belongs to the aspartate glutamate racemases family	racD	-	5.1.1.13	ko:K01779	ko00250,ko01054,map00250,map01054	-	R00491	RC00302	ko00000,ko00001,ko01000	-	-	-	Asp_Glu_race
ELMOCPCJ_00035	543734.LCABL_02120	0.0	1006.0	COG0769@1|root,COG0769@2|Bacteria,1TPQE@1239|Firmicutes,4H9T1@91061|Bacilli,3F3UE@33958|Lactobacillaceae	91061|Bacilli	M	Catalyzes the addition of an amino acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan	murE	-	6.3.2.13,6.3.2.7	ko:K01928,ko:K05362	ko00300,ko00550,ko01100,map00300,map00550,map01100	-	R02786,R02788	RC00064,RC00090	ko00000,ko00001,ko01000,ko01011	-	-	-	Mur_ligase_C,Mur_ligase_M
ELMOCPCJ_00036	543734.LCABL_02110	1.69e-102	297.0	COG0782@1|root,COG0782@2|Bacteria,1V1G3@1239|Firmicutes,4HW8H@91061|Bacilli,3F6ZK@33958|Lactobacillaceae	91061|Bacilli	K	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides	greA	-	-	ko:K03624	-	-	-	-	ko00000,ko03021	-	-	-	GreA_GreB,GreA_GreB_N
ELMOCPCJ_00037	543734.LCABL_02100	1.3e-301	824.0	COG1686@1|root,COG1686@2|Bacteria,1TQN0@1239|Firmicutes,4HBD4@91061|Bacilli,3F43S@33958|Lactobacillaceae	91061|Bacilli	M	Belongs to the peptidase S11 family	dacA	GO:0003674,GO:0003824,GO:0004175,GO:0004180,GO:0004185,GO:0005575,GO:0005618,GO:0005623,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0008238,GO:0009002,GO:0016787,GO:0017171,GO:0019538,GO:0030312,GO:0043170,GO:0044238,GO:0044464,GO:0070008,GO:0070011,GO:0071704,GO:0071944,GO:0140096,GO:1901564	3.4.16.4	ko:K01286,ko:K07258	ko00550,ko01100,map00550,map01100	-	-	-	ko00000,ko00001,ko01000,ko01002,ko01011	-	-	-	PBP5_C,Peptidase_S11
ELMOCPCJ_00038	543734.LCABL_02090	4.66e-277	758.0	COG5002@1|root,COG5002@2|Bacteria,1TPB6@1239|Firmicutes,4HARU@91061|Bacilli,3F479@33958|Lactobacillaceae	91061|Bacilli	T	Histidine kinase	hpk31	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HisKA
ELMOCPCJ_00039	568703.LGG_00252	2.39e-156	439.0	COG0745@1|root,COG0745@2|Bacteria,1TP9M@1239|Firmicutes,4HB3T@91061|Bacilli,3F3Y0@33958|Lactobacillaceae	91061|Bacilli	K	response regulator	vanR	-	-	-	-	-	-	-	-	-	-	-	Response_reg,Trans_reg_C
ELMOCPCJ_00040	543734.LCABL_02070	1.18e-155	437.0	2F4SR@1|root,33XFD@2|Bacteria,1VW0F@1239|Firmicutes,4HWCG@91061|Bacilli,3F6TR@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ELMOCPCJ_00041	543734.LCABL_02060	0.0	946.0	COG0516@1|root,COG0517@1|root,COG0516@2|Bacteria,COG0517@2|Bacteria,1TNZ1@1239|Firmicutes,4H9V3@91061|Bacilli,3F3XN@33958|Lactobacillaceae	91061|Bacilli	F	Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides	guaB	GO:0003674,GO:0003824,GO:0003938,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006163,GO:0006164,GO:0006183,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009163,GO:0009165,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016491,GO:0016614,GO:0016616,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034404,GO:0034641,GO:0034654,GO:0042278,GO:0042451,GO:0042455,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046039,GO:0046128,GO:0046129,GO:0046390,GO:0046483,GO:0055086,GO:0055114,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901068,GO:1901070,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659	1.1.1.205	ko:K00088	ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110	M00050	R01130,R08240	RC00143,RC02207	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	CBS,IMPDH
ELMOCPCJ_00042	543734.LCABL_02050	7.44e-171	479.0	COG4858@1|root,COG4858@2|Bacteria,1VF5N@1239|Firmicutes,4HH7B@91061|Bacilli,3F4JS@33958|Lactobacillaceae	91061|Bacilli	S	Protein of unknown function (DUF1129)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1129
ELMOCPCJ_00043	543734.LCABL_02040	4.63e-235	649.0	COG0012@1|root,COG0012@2|Bacteria,1TPRK@1239|Firmicutes,4H9SQ@91061|Bacilli,3F3TK@33958|Lactobacillaceae	91061|Bacilli	J	ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner	ychF	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0044424,GO:0044464	-	ko:K06942	-	-	-	-	ko00000,ko03009	-	-	-	MMR_HSR1,YchF-GTPase_C
ELMOCPCJ_00044	543734.LCABL_02030	9.37e-40	131.0	COG4481@1|root,COG4481@2|Bacteria,1VEQ7@1239|Firmicutes,4HNHU@91061|Bacilli,3F823@33958|Lactobacillaceae	91061|Bacilli	S	Bacterial protein of unknown function (DUF951)	yyzM	-	-	-	-	-	-	-	-	-	-	-	DUF951
ELMOCPCJ_00045	543734.LCABL_02020	8.7e-199	551.0	COG1475@1|root,COG1475@2|Bacteria,1TQ2B@1239|Firmicutes,4H9TB@91061|Bacilli,3F47R@33958|Lactobacillaceae	91061|Bacilli	K	Belongs to the ParB family	spo0J	GO:0005575,GO:0005622,GO:0005623,GO:0007059,GO:0008150,GO:0009295,GO:0009987,GO:0022603,GO:0042173,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043590,GO:0043937,GO:0043938,GO:0044424,GO:0044464,GO:0045595,GO:0045597,GO:0045881,GO:0048518,GO:0048522,GO:0050789,GO:0050793,GO:0050794,GO:0051094,GO:0065007	-	ko:K03497	-	-	-	-	ko00000,ko03000,ko03036,ko04812	-	-	-	HTH_3,KorB,ParBc
ELMOCPCJ_00046	543734.LCABL_02010	7.4e-178	496.0	COG1192@1|root,COG1192@2|Bacteria,1TP8S@1239|Firmicutes,4HAYM@91061|Bacilli,3F4AE@33958|Lactobacillaceae	91061|Bacilli	D	Sporulation initiation inhibitor	soj	GO:0008150,GO:0022603,GO:0042173,GO:0042174,GO:0043937,GO:0043939,GO:0045595,GO:0045596,GO:0048519,GO:0048523,GO:0050789,GO:0050793,GO:0050794,GO:0051093,GO:0065007	-	ko:K03496	-	-	-	-	ko00000,ko03036,ko04812	-	-	-	AAA_31
ELMOCPCJ_00047	543734.LCABL_02000	5.39e-186	518.0	COG1475@1|root,COG1475@2|Bacteria,1TP0I@1239|Firmicutes,4HAC6@91061|Bacilli,3F4RU@33958|Lactobacillaceae	91061|Bacilli	K	Belongs to the ParB family	noc	-	-	ko:K03497	-	-	-	-	ko00000,ko03000,ko03036,ko04812	-	-	-	ParBc
ELMOCPCJ_00048	543734.LCABL_01990	1.31e-166	466.0	COG0357@1|root,COG0357@2|Bacteria,1TPBT@1239|Firmicutes,4HAAZ@91061|Bacilli,3F3ZX@33958|Lactobacillaceae	91061|Bacilli	J	Specifically methylates the N7 position of a guanine in 16S rRNA	rsmG	GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016435,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0036265,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0070043,GO:0070475,GO:0070476,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360	2.1.1.170	ko:K03501	-	-	-	-	ko00000,ko01000,ko03009,ko03036	-	-	-	GidB
ELMOCPCJ_00049	543734.LCABL_01980	2.72e-85	251.0	29PCH@1|root,30AAR@2|Bacteria,1U6EK@1239|Firmicutes,4IG6D@91061|Bacilli,3F7R0@33958|Lactobacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
