# BUSCO version is: 6.0.0 
# The lineage dataset is: lactobacillaceae_odb12 (Creation date: 2025-05-14, number of genomes: 100, number of BUSCOs: 519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
231at33958	Complete	NODE_3_length_404174_cov_108.718135	166506	166168	-	148.8	109
239at33958	Complete	NODE_1_length_651596_cov_115.359902	53306	53977	+	356.7	217
246at33958	Duplicated	NODE_3_length_404174_cov_108.718135	93087	94514	+	559.0	452
246at33958	Duplicated	NODE_13_length_45945_cov_104.851879	15653	14223	-	557.0	451
246at33958	Duplicated	NODE_6_length_211744_cov_108.724426	136141	137550	+	483.8	446
246at33958	Duplicated	NODE_1_length_651596_cov_115.359902	207211	205769	-	499.5	441
265at33958	Complete	NODE_3_length_404174_cov_108.718135	219909	219481	-	216.7	129
267at33958	Complete	NODE_2_length_515833_cov_109.460731	494292	492319	-	1204.7	642
268at33958	Complete	NODE_2_length_515833_cov_109.460731	182732	181590	-	663.1	373
283at33958	Complete	NODE_2_length_515833_cov_109.460731	253343	252564	-	377.3	249
287at33958	Complete	NODE_2_length_515833_cov_109.460731	416489	416674	+	134.8	61
289at33958	Complete	NODE_2_length_515833_cov_109.460731	5291	4737	-	319.8	183
299at33958	Complete	NODE_2_length_515833_cov_109.460731	39352	39948	+	318.2	192
303at33958	Complete	NODE_3_length_404174_cov_108.718135	369338	368808	-	303.3	175
306at33958	Complete	NODE_2_length_515833_cov_109.460731	3063	1381	-	1088.4	556
311at33958	Complete	NODE_2_length_515833_cov_109.460731	469163	468117	-	660.3	347
314at33958	Complete	NODE_1_length_651596_cov_115.359902	17976	17257	-	308.7	216
316at33958	Complete	NODE_2_length_515833_cov_109.460731	254245	253343	-	535.8	297
324at33958	Complete	NODE_14_length_41384_cov_104.001985	5919	4237	-	972.6	562
331at33958	Complete	NODE_5_length_328887_cov_107.457170	132332	131298	-	556.9	329
344at33958	Complete	NODE_3_length_404174_cov_108.718135	372869	372207	-	432.1	217
350at33958	Complete	NODE_1_length_651596_cov_115.359902	605375	604023	-	809.3	440
353at33958	Complete	NODE_2_length_515833_cov_109.460731	429095	428469	-	371.7	202
354at33958	Complete	NODE_2_length_515833_cov_109.460731	273227	270999	-	1304.9	726
358at33958	Complete	NODE_7_length_113986_cov_103.583132	23473	23180	-	100.8	84
361at33958	Complete	NODE_3_length_404174_cov_108.718135	169952	169353	-	380.7	197
378at33958	Complete	NODE_2_length_515833_cov_109.460731	190819	189521	-	732.3	425
380at33958	Complete	NODE_3_length_404174_cov_108.718135	360287	359442	-	457.5	273
386at33958	Complete	NODE_2_length_515833_cov_109.460731	183928	183533	-	148.9	104
393at33958	Complete	NODE_1_length_651596_cov_115.359902	606394	606840	+	162.9	136
406at33958	Complete	NODE_1_length_651596_cov_115.359902	589489	590268	+	431.5	255
410at33958	Complete	NODE_1_length_651596_cov_115.359902	245121	243772	-	748.8	443
415at33958	Complete	NODE_3_length_404174_cov_108.718135	374411	373575	-	541.2	275
416at33958	Complete	NODE_5_length_328887_cov_107.457170	256067	255240	-	448.8	261
425at33958	Complete	NODE_1_length_651596_cov_115.359902	49112	48930	-	127.9	58
426at33958	Complete	NODE_5_length_328887_cov_107.457170	172730	171366	-	840.1	448
433at33958	Complete	NODE_2_length_515833_cov_109.460731	329494	329015	-	246.9	154
441at33958	Complete	NODE_1_length_651596_cov_115.359902	649680	651179	+	944.2	488
445at33958	Complete	NODE_1_length_651596_cov_115.359902	572772	573698	+	372.8	305
453at33958	Complete	NODE_2_length_515833_cov_109.460731	42972	44780	+	1109.6	589
463at33958	Complete	NODE_2_length_515833_cov_109.460731	482578	482267	-	123.8	100
482at33958	Complete	NODE_2_length_515833_cov_109.460731	1091	141	-	277.5	270
483at33958	Complete	NODE_5_length_328887_cov_107.457170	242614	239723	-	1909.7	943
488at33958	Complete	NODE_1_length_651596_cov_115.359902	44158	43472	-	453.9	227
494at33958	Complete	NODE_6_length_211744_cov_108.724426	139568	141121	+	1039.7	512
510at33958	Complete	NODE_2_length_515833_cov_109.460731	52593	53555	+	508.6	307
514at33958	Complete	NODE_3_length_404174_cov_108.718135	167817	167488	-	179.7	108
515at33958	Complete	NODE_5_length_328887_cov_107.457170	231169	229979	-	787.7	396
519at33958	Complete	NODE_2_length_515833_cov_109.460731	477300	475882	-	929.7	471
522at33958	Complete	NODE_3_length_404174_cov_108.718135	370535	369993	-	360.5	178
524at33958	Complete	NODE_5_length_328887_cov_107.457170	139028	137004	-	1105.7	659
531at33958	Complete	NODE_5_length_328887_cov_107.457170	302550	303185	+	161.2	161
534at33958	Complete	NODE_2_length_515833_cov_109.460731	88019	88969	+	582.1	312
538at33958	Complete	NODE_5_length_328887_cov_107.457170	257028	256069	-	538.2	305
542at33958	Complete	NODE_1_length_651596_cov_115.359902	591835	592086	+	141.8	77
545at33958	Complete	NODE_2_length_515833_cov_109.460731	319595	318549	-	525.5	342
549at33958	Complete	NODE_1_length_651596_cov_115.359902	630499	629834	-	383.9	209
553at33958	Complete	NODE_2_length_515833_cov_109.460731	338736	337984	-	420.4	237
572at33958	Complete	NODE_2_length_515833_cov_109.460731	395936	395661	-	174.6	90
577at33958	Complete	NODE_5_length_328887_cov_107.457170	238669	237782	-	495.1	282
581at33958	Complete	NODE_2_length_515833_cov_109.460731	305527	305000	-	330.9	172
594at33958	Complete	NODE_4_length_348303_cov_114.329901	31505	30879	-	308.2	202
598at33958	Complete	NODE_5_length_328887_cov_107.457170	134035	132605	-	908.7	475
601at33958	Complete	NODE_2_length_515833_cov_109.460731	481613	481014	-	263.1	195
602at33958	Complete	NODE_7_length_113986_cov_103.583132	56965	57576	+	377.4	199
606at33958	Complete	NODE_1_length_651596_cov_115.359902	137549	136254	-	781.8	425
607at33958	Complete	NODE_2_length_515833_cov_109.460731	184626	185252	+	334.9	202
610at33958	Complete	NODE_7_length_113986_cov_103.583132	52944	51727	-	737.4	405
612at33958	Complete	NODE_3_length_404174_cov_108.718135	363695	362757	-	620.2	310
619at33958	Complete	NODE_3_length_404174_cov_108.718135	219509	218730	-	408.8	242
621at33958	Complete	NODE_5_length_328887_cov_107.457170	236752	235805	-	544.4	306
625at33958	Complete	NODE_1_length_651596_cov_115.359902	619865	621001	+	579.0	360
654at33958	Complete	NODE_2_length_515833_cov_109.460731	334083	329749	-	2501.8	1403
662at33958	Complete	NODE_9_length_65232_cov_107.983117	37965	37138	-	490.9	270
675at33958	Complete	NODE_2_length_515833_cov_109.460731	260510	259590	-	472.9	289
684at33958	Complete	NODE_3_length_404174_cov_108.718135	238831	238289	-	296.1	177
687at33958	Complete	NODE_11_length_60639_cov_107.161487	59810	59214	-	265.0	199
688at33958	Complete	NODE_2_length_515833_cov_109.460731	471593	470832	-	350.7	248
690at33958	Complete	NODE_3_length_404174_cov_108.718135	376354	376046	-	218.8	102
691at33958	Complete	NODE_5_length_328887_cov_107.457170	189218	188313	-	500.6	288
692at33958	Complete	NODE_3_length_404174_cov_108.718135	173144	172638	-	235.7	145
697at33958	Complete	NODE_4_length_348303_cov_114.329901	23794	22127	-	1017.7	536
699at33958	Complete	NODE_2_length_515833_cov_109.460731	335877	334150	-	1002.5	567
702at33958	Complete	NODE_3_length_404174_cov_108.718135	353208	352816	-	257.0	130
705at33958	Complete	NODE_1_length_651596_cov_115.359902	595881	596729	+	493.9	274
710at33958	Complete	NODE_5_length_328887_cov_107.457170	166589	165858	-	439.0	241
722at33958	Complete	NODE_11_length_60639_cov_107.161487	5414	4638	-	437.7	254
726at33958	Missing
727at33958	Complete	NODE_11_length_60639_cov_107.161487	59103	58087	-	629.1	333
731at33958	Complete	NODE_7_length_113986_cov_103.583132	12351	11641	-	341.9	226
736at33958	Complete	NODE_6_length_211744_cov_108.724426	79700	80974	+	765.2	413
742at33958	Complete	NODE_13_length_45945_cov_104.851879	30968	32200	+	722.2	406
747at33958	Complete	NODE_2_length_515833_cov_109.460731	207926	206595	-	644.0	449
748at33958	Complete	NODE_2_length_515833_cov_109.460731	482256	481606	-	326.2	203
756at33958	Complete	NODE_1_length_651596_cov_115.359902	553400	551112	-	1100.4	723
759at33958	Complete	NODE_2_length_515833_cov_109.460731	393807	393460	-	216.5	115
783at33958	Complete	NODE_2_length_515833_cov_109.460731	428402	428154	-	129.1	70
785at33958	Complete	NODE_5_length_328887_cov_107.457170	54230	55159	+	483.5	305
790at33958	Complete	NODE_2_length_515833_cov_109.460731	497648	497181	-	298.5	154
795at33958	Complete	NODE_2_length_515833_cov_109.460731	512324	511596	-	409.5	240
798at33958	Complete	NODE_3_length_404174_cov_108.718135	375365	374742	-	389.4	207
800at33958	Complete	NODE_1_length_651596_cov_115.359902	648542	649543	+	630.2	326
801at33958	Complete	NODE_7_length_113986_cov_103.583132	34503	33562	-	540.9	313
808at33958	Complete	NODE_3_length_404174_cov_108.718135	150590	150309	-	159.0	92
819at33958	Complete	NODE_2_length_515833_cov_109.460731	443041	445440	+	996.2	748
821at33958	Complete	NODE_1_length_651596_cov_115.359902	250370	252271	+	1224.1	633
833at33958	Complete	NODE_14_length_41384_cov_104.001985	38005	37739	-	173.6	87
840at33958	Complete	NODE_7_length_113986_cov_103.583132	42444	41914	-	159.3	165
841at33958	Complete	NODE_1_length_651596_cov_115.359902	609103	610707	+	1045.2	530
850at33958	Complete	NODE_2_length_515833_cov_109.460731	66304	68070	+	1105.7	581
851at33958	Complete	NODE_2_length_515833_cov_109.460731	327443	327138	-	138.4	98
863at33958	Complete	NODE_3_length_404174_cov_108.718135	368388	367885	-	307.8	164
865at33958	Complete	NODE_3_length_404174_cov_108.718135	399831	396247	-	2524.1	1179
866at33958	Complete	NODE_3_length_404174_cov_108.718135	358641	357898	-	427.1	245
881at33958	Complete	NODE_2_length_515833_cov_109.460731	256463	255477	-	562.7	313
883at33958	Complete	NODE_3_length_404174_cov_108.718135	370871	370560	-	158.1	101
884at33958	Complete	NODE_3_length_404174_cov_108.718135	362735	362352	-	232.3	126
885at33958	Complete	NODE_1_length_651596_cov_115.359902	342271	344181	+	1033.7	608
888at33958	Complete	NODE_1_length_651596_cov_115.359902	558399	559415	+	642.5	337
893at33958	Complete	NODE_5_length_328887_cov_107.457170	174691	173834	-	465.6	256
894at33958	Complete	NODE_13_length_45945_cov_104.851879	27697	28776	+	690.5	358
900at33958	Complete	NODE_2_length_515833_cov_109.460731	344053	343310	-	358.2	245
905at33958	Complete	NODE_2_length_515833_cov_109.460731	437919	437458	-	197.0	133
911at33958	Complete	NODE_2_length_515833_cov_109.460731	84213	85409	+	575.9	398
913at33958	Complete	NODE_3_length_404174_cov_108.718135	194355	193930	-	290.9	140
918at33958	Complete	NODE_2_length_515833_cov_109.460731	211285	210491	-	394.3	270
923at33958	Complete	NODE_5_length_328887_cov_107.457170	141340	139085	-	1286.3	730
927at33958	Complete	NODE_11_length_60639_cov_107.161487	22901	23785	+	374.3	268
928at33958	Complete	NODE_2_length_515833_cov_109.460731	79881	81188	+	843.8	435
929at33958	Complete	NODE_13_length_45945_cov_104.851879	35319	36848	+	1022.8	502
933at33958	Complete	NODE_13_length_45945_cov_104.851879	38100	39566	+	970.1	464
935at33958	Complete	NODE_4_length_348303_cov_114.329901	189913	187379	-	1609.4	842
940at33958	Complete	NODE_2_length_515833_cov_109.460731	489608	489408	-	126.2	65
947at33958	Complete	NODE_2_length_515833_cov_109.460731	311434	309596	-	1214.6	608
950at33958	Complete	NODE_11_length_60639_cov_107.161487	39296	38862	-	255.8	142
959at33958	Complete	NODE_2_length_515833_cov_109.460731	501806	499161	-	1512.0	876
969at33958	Complete	NODE_2_length_515833_cov_109.460731	264234	262951	-	719.7	413
982at33958	Complete	NODE_6_length_211744_cov_108.724426	132171	134462	+	1251.8	761
983at33958	Complete	NODE_2_length_515833_cov_109.460731	416072	415710	-	207.5	120
992at33958	Complete	NODE_5_length_328887_cov_107.457170	244897	242882	-	1327.8	666
993at33958	Complete	NODE_5_length_328887_cov_107.457170	327400	326216	-	760.8	390
997at33958	Complete	NODE_2_length_515833_cov_109.460731	324225	323872	-	183.9	114
1025at33958	Complete	NODE_2_length_515833_cov_109.460731	32781	33971	+	850.4	395
1034at33958	Complete	NODE_3_length_404174_cov_108.718135	364545	364180	-	215.5	115
1036at33958	Complete	NODE_14_length_41384_cov_104.001985	2532	490	-	1105.9	690
1042at33958	Complete	NODE_2_length_515833_cov_109.460731	433665	432835	-	485.7	268
1046at33958	Complete	NODE_5_length_328887_cov_107.457170	229904	229149	-	429.9	250
1047at33958	Complete	NODE_5_length_328887_cov_107.457170	220381	219908	-	272.5	153
1049at33958	Complete	NODE_2_length_515833_cov_109.460731	81432	81707	+	176.9	91
1053at33958	Complete	NODE_7_length_113986_cov_103.583132	97826	99121	+	776.4	422
1064at33958	Complete	NODE_5_length_328887_cov_107.457170	274037	271674	-	1558.1	785
1072at33958	Complete	NODE_7_length_113986_cov_103.583132	6960	5707	-	713.3	371
1074at33958	Complete	NODE_5_length_328887_cov_107.457170	301020	300223	-	431.2	262
1093at33958	Complete	NODE_2_length_515833_cov_109.460731	37884	39134	+	741.2	398
1095at33958	Complete	NODE_11_length_60639_cov_107.161487	19395	18394	-	575.2	331
1099at33958	Complete	NODE_1_length_651596_cov_115.359902	3134	1587	-	837.8	509
1108at33958	Complete	NODE_14_length_41384_cov_104.001985	37739	36012	-	988.8	565
1128at33958	Complete	NODE_1_length_651596_cov_115.359902	579046	581028	+	1169.3	639
1135at33958	Complete	NODE_1_length_651596_cov_115.359902	243599	242460	-	638.1	374
1136at33958	Complete	NODE_1_length_651596_cov_115.359902	52481	51750	-	376.1	239
1138at33958	Complete	NODE_3_length_404174_cov_108.718135	159560	158535	-	614.5	336
1147at33958	Complete	NODE_1_length_651596_cov_115.359902	590821	591717	+	425.0	292
1153at33958	Complete	NODE_2_length_515833_cov_109.460731	340543	339824	-	478.7	236
1155at33958	Complete	NODE_3_length_404174_cov_108.718135	396234	392572	-	2528.9	1203
1159at33958	Complete	NODE_3_length_404174_cov_108.718135	160133	159594	-	230.0	182
1174at33958	Complete	NODE_2_length_515833_cov_109.460731	68796	69674	+	445.2	282
1187at33958	Complete	NODE_7_length_113986_cov_103.583132	39780	39124	-	335.9	212
1195at33958	Complete	NODE_2_length_515833_cov_109.460731	257240	256797	-	216.0	147
1202at33958	Complete	NODE_1_length_651596_cov_115.359902	635061	638585	+	1914.1	1167
1206at33958	Complete	NODE_13_length_45945_cov_104.851879	33293	34003	+	340.3	232
1224at33958	Complete	NODE_2_length_515833_cov_109.460731	394711	393944	-	431.4	244
1239at33958	Complete	NODE_2_length_515833_cov_109.460731	422024	421281	-	384.4	244
1243at33958	Complete	NODE_5_length_328887_cov_107.457170	135791	135495	-	120.3	96
1252at33958	Complete	NODE_1_length_651596_cov_115.359902	640287	640550	+	147.6	86
1253at33958	Complete	NODE_11_length_60639_cov_107.161487	42665	40020	-	1588.1	881
1269at33958	Complete	NODE_2_length_515833_cov_109.460731	97673	98488	+	319.5	282
1276at33958	Complete	NODE_5_length_328887_cov_107.457170	222782	220413	-	1177.1	722
1286at33958	Complete	NODE_2_length_515833_cov_109.460731	403923	403228	-	365.4	228
1289at33958	Complete	NODE_2_length_515833_cov_109.460731	117058	117990	+	485.9	304
1298at33958	Complete	NODE_2_length_515833_cov_109.460731	21815	22381	+	257.8	180
1301at33958	Complete	NODE_2_length_515833_cov_109.460731	107976	109988	+	1274.2	654
1302at33958	Complete	NODE_3_length_404174_cov_108.718135	376020	375388	-	405.2	209
1305at33958	Complete	NODE_13_length_45945_cov_104.851879	28769	29599	+	333.4	263
1317at33958	Complete	NODE_14_length_41384_cov_104.001985	10748	10062	-	286.9	215
1321at33958	Complete	NODE_3_length_404174_cov_108.718135	371564	371301	-	162.3	86
1323at33958	Complete	NODE_2_length_515833_cov_109.460731	341648	340767	-	491.5	290
1329at33958	Complete	NODE_3_length_404174_cov_108.718135	205279	204725	-	327.5	180
1331at33958	Complete	NODE_3_length_404174_cov_108.718135	221312	219906	-	836.1	467
1350at33958	Complete	NODE_2_length_515833_cov_109.460731	478481	477933	-	219.5	184
1351at33958	Complete	NODE_2_length_515833_cov_109.460731	304676	304173	-	250.7	161
1352at33958	Complete	NODE_7_length_113986_cov_103.583132	56130	54427	-	609.6	557
1353at33958	Complete	NODE_2_length_515833_cov_109.460731	413824	411785	-	1092.0	668
1358at33958	Complete	NODE_2_length_515833_cov_109.460731	217529	215460	-	1095.1	675
1361at33958	Complete	NODE_2_length_515833_cov_109.460731	437456	437049	-	181.7	127
1370at33958	Complete	NODE_11_length_60639_cov_107.161487	45394	44048	-	694.1	443
1383at33958	Complete	NODE_6_length_211744_cov_108.724426	118362	117067	-	637.9	407
1389at33958	Duplicated	NODE_1_length_651596_cov_115.359902	533473	534666	+	576.2	349
1389at33958	Duplicated	NODE_5_length_328887_cov_107.457170	280687	279626	-	656.2	343
1413at33958	Complete	NODE_3_length_404174_cov_108.718135	168496	167852	-	332.7	210
1423at33958	Complete	NODE_7_length_113986_cov_103.583132	39111	38473	-	304.8	199
1428at33958	Complete	NODE_2_length_515833_cov_109.460731	483842	482718	-	604.0	360
1431at33958	Complete	NODE_2_length_515833_cov_109.460731	70814	71200	+	155.0	114
1439at33958	Complete	NODE_3_length_404174_cov_108.718135	225820	224327	-	889.8	490
1443at33958	Complete	NODE_11_length_60639_cov_107.161487	1654	2640	+	461.7	317
1445at33958	Complete	NODE_3_length_404174_cov_108.718135	367214	365889	-	773.2	429
1452at33958	Complete	NODE_2_length_515833_cov_109.460731	321852	320905	-	462.3	305
1454at33958	Complete	NODE_1_length_651596_cov_115.359902	616138	617526	+	740.1	452
1498at33958	Complete	NODE_1_length_651596_cov_115.359902	238007	235386	-	1594.7	808
1514at33958	Complete	NODE_14_length_41384_cov_104.001985	2644	3477	+	322.6	251
1525at33958	Complete	NODE_3_length_404174_cov_108.718135	238272	236908	-	877.2	453
1532at33958	Complete	NODE_2_length_515833_cov_109.460731	432264	430564	-	866.9	560
1534at33958	Complete	NODE_2_length_515833_cov_109.460731	415650	413974	-	903.6	552
1540at33958	Complete	NODE_2_length_515833_cov_109.460731	423374	422034	-	666.8	444
1544at33958	Complete	NODE_2_length_515833_cov_109.460731	480654	479917	-	336.0	235
1550at33958	Complete	NODE_3_length_404174_cov_108.718135	136400	137791	+	735.7	441
1564at33958	Complete	NODE_1_length_651596_cov_115.359902	145133	143745	-	820.9	451
1574at33958	Complete	NODE_1_length_651596_cov_115.359902	647595	648479	+	428.6	287
1583at33958	Complete	NODE_2_length_515833_cov_109.460731	410684	410442	-	130.3	80
1585at33958	Complete	NODE_2_length_515833_cov_109.460731	29890	31572	+	987.4	558
1594at33958	Complete	NODE_2_length_515833_cov_109.460731	471742	472074	+	93.1	79
1609at33958	Complete	NODE_2_length_515833_cov_109.460731	195529	192743	-	1091.2	921
1634at33958	Complete	NODE_1_length_651596_cov_115.359902	611220	612479	+	767.2	416
1646at33958	Complete	NODE_5_length_328887_cov_107.457170	255229	254174	-	557.5	333
1648at33958	Complete	NODE_13_length_45945_cov_104.851879	39581	40012	+	206.5	135
1661at33958	Complete	NODE_2_length_515833_cov_109.460731	164094	163174	-	513.0	291
1663at33958	Complete	NODE_2_length_515833_cov_109.460731	411763	410738	-	529.7	330
1668at33958	Complete	NODE_5_length_328887_cov_107.457170	194958	193981	-	567.6	321
1671at33958	Complete	NODE_2_length_515833_cov_109.460731	426803	424386	-	1286.1	795
1687at33958	Complete	NODE_2_length_515833_cov_109.460731	215267	213480	-	750.5	570
1704at33958	Complete	NODE_5_length_328887_cov_107.457170	237785	236757	-	583.7	319
1707at33958	Complete	NODE_3_length_404174_cov_108.718135	145483	142901	-	1416.7	827
1725at33958	Complete	NODE_2_length_515833_cov_109.460731	417662	416994	-	242.9	203
1736at33958	Complete	NODE_2_length_515833_cov_109.460731	268411	269733	+	456.9	278
1737at33958	Complete	NODE_3_length_404174_cov_108.718135	165214	164471	-	285.1	231
1738at33958	Complete	NODE_5_length_328887_cov_107.457170	254108	253161	-	578.7	303
1740at33958	Complete	NODE_2_length_515833_cov_109.460731	307818	305524	-	883.0	707
1748at33958	Complete	NODE_3_length_404174_cov_108.718135	359449	358655	-	429.8	263
1750at33958	Complete	NODE_3_length_404174_cov_108.718135	372203	371769	-	288.0	143
1754at33958	Complete	NODE_2_length_515833_cov_109.460731	393024	392779	-	119.7	78
1755at33958	Complete	NODE_2_length_515833_cov_109.460731	13437	13718	+	120.4	90
1766at33958	Complete	NODE_2_length_515833_cov_109.460731	89097	89588	+	203.2	163
1769at33958	Complete	NODE_1_length_651596_cov_115.359902	241398	240283	-	603.7	368
1770at33958	Complete	NODE_2_length_515833_cov_109.460731	61878	65174	+	1525.6	1076
1779at33958	Complete	NODE_5_length_328887_cov_107.457170	277016	277666	+	278.3	206
1786at33958	Complete	NODE_2_length_515833_cov_109.460731	392718	392497	-	127.4	70
1791at33958	Complete	NODE_5_length_328887_cov_107.457170	135491	134037	-	876.1	482
1792at33958	Complete	NODE_3_length_404174_cov_108.718135	167488	166511	-	374.8	298
1797at33958	Complete	NODE_3_length_404174_cov_108.718135	142896	140941	-	914.0	569
1808at33958	Complete	NODE_1_length_651596_cov_115.359902	590265	590834	+	271.2	185
1818at33958	Complete	NODE_9_length_65232_cov_107.983117	21213	19933	-	396.4	377
1820at33958	Complete	NODE_7_length_113986_cov_103.583132	23173	22394	-	352.6	257
1822at33958	Complete	NODE_3_length_404174_cov_108.718135	166166	165309	-	448.5	282
1823at33958	Complete	NODE_3_length_404174_cov_108.718135	382594	382178	-	289.0	137
1881at33958	Complete	NODE_2_length_515833_cov_109.460731	166342	164669	-	980.1	549
1882at33958	Complete	NODE_2_length_515833_cov_109.460731	274554	273814	-	298.4	229
1904at33958	Complete	NODE_2_length_515833_cov_109.460731	211982	211272	-	288.9	225
1905at33958	Complete	NODE_2_length_515833_cov_109.460731	339824	339267	-	307.5	184
1918at33958	Complete	NODE_3_length_404174_cov_108.718135	150272	148638	-	1044.1	529
1936at33958	Complete	NODE_2_length_515833_cov_109.460731	453879	452917	-	562.6	315
1937at33958	Complete	NODE_2_length_515833_cov_109.460731	436923	436072	-	391.3	272
1947at33958	Complete	NODE_2_length_515833_cov_109.460731	421284	419284	-	869.5	618
1952at33958	Complete	NODE_2_length_515833_cov_109.460731	323567	322776	-	311.9	224
1959at33958	Complete	NODE_5_length_328887_cov_107.457170	165771	164866	-	334.4	269
1972at33958	Complete	NODE_7_length_113986_cov_103.583132	28649	27558	-	556.9	360
1977at33958	Complete	NODE_14_length_41384_cov_104.001985	38689	40785	+	1281.8	661
1980at33958	Complete	NODE_2_length_515833_cov_109.460731	71900	72520	+	248.1	182
1984at33958	Complete	NODE_5_length_328887_cov_107.457170	136994	135843	-	549.2	377
1992at33958	Complete	NODE_2_length_515833_cov_109.460731	261054	260602	-	258.9	138
2004at33958	Complete	NODE_5_length_328887_cov_107.457170	317685	316042	-	784.8	536
2011at33958	Complete	NODE_2_length_515833_cov_109.460731	49044	50330	+	741.2	431
2033at33958	Complete	NODE_1_length_651596_cov_115.359902	145830	145375	-	247.8	150
2048at33958	Complete	NODE_2_length_515833_cov_109.460731	337143	335902	-	589.5	403
2053at33958	Complete	NODE_2_length_515833_cov_109.460731	454811	454128	-	272.9	204
2056at33958	Complete	NODE_5_length_328887_cov_107.457170	274928	274371	-	307.7	180
2059at33958	Complete	NODE_13_length_45945_cov_104.851879	36860	37786	+	506.2	308
2066at33958	Complete	NODE_2_length_515833_cov_109.460731	71175	71900	+	259.5	210
2072at33958	Complete	NODE_3_length_404174_cov_108.718135	172289	170592	-	878.9	566
2074at33958	Complete	NODE_1_length_651596_cov_115.359902	50149	49277	-	466.9	282
2091at33958	Complete	NODE_2_length_515833_cov_109.460731	257436	257260	-	125.4	57
2100at33958	Complete	NODE_2_length_515833_cov_109.460731	481010	480651	-	187.9	116
2105at33958	Complete	NODE_7_length_113986_cov_103.583132	3797	1329	-	1060.6	746
2116at33958	Complete	NODE_9_length_65232_cov_107.983117	28955	28503	-	203.6	142
2130at33958	Complete	NODE_2_length_515833_cov_109.460731	315765	314602	-	641.5	367
2133at33958	Complete	NODE_2_length_515833_cov_109.460731	213466	212198	-	753.4	365
2139at33958	Complete	NODE_3_length_404174_cov_108.718135	193830	193141	-	416.4	228
