#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_14_length_41384_cov_104.001985:38689-40785|+   -            699 1977                 -            707         0 1281.8  11.3   1   1         0         0 1281.1  11.3    44   704     6   685     2   688 0.95 NODE_14_length_41384_cov_104.001985_37 # 38689 # 40785 # 1 # ID=14_37;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.465
NODE_7_length_113986_cov_103.583132:97826-99121|+   -            432 1977                 -            707   0.00079   15.3   0.1   1   2     0.052        22    0.6   0.0   432   469    28    60     7    66 0.69 NODE_7_length_113986_cov_103.583132_92 # 97826 # 99121 # 1 # ID=7_92;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.495
NODE_7_length_113986_cov_103.583132:97826-99121|+   -            432 1977                 -            707   0.00079   15.3   0.1   2   2   1.7e-05    0.0071   12.1   0.0   178   264    78   154    73   182 0.83 NODE_7_length_113986_cov_103.583132_92 # 97826 # 99121 # 1 # ID=7_92;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.495
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/1977at33958.hmm
# Target file:     /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/ephraim/busco_isolate_may/run_lactobacillaceae_odb12/hmmer_output/1977at33958.out --cpu 1 /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/1977at33958.hmm /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/ephraim
# Date:            Sun May  3 19:13:19 2026
# [ok]
