#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_515833_cov_109.460731:430564-432264|- -            567 1532                 -            562  1.1e-261  866.9  19.3   1   1  2.5e-264  1.2e-261  866.7  19.3     1   560     1   561     1   563 0.99 NODE_2_length_515833_cov_109.460731_406 # 430564 # 432264 # -1 # ID=2_406;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.465
NODE_3_length_404174_cov_108.718135:314825-315568|- -            248 1532                 -            562    0.0068   12.5   0.8   2   2       0.1        48   -0.2   0.1   434   490   136   188   125   214 0.71 NODE_3_length_404174_cov_108.718135_293 # 314825 # 315568 # -1 # ID=3_293;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.478
NODE_1_length_651596_cov_115.359902:220620-221321|+ -            234 1532                 -            562    0.0076   12.3   1.0   1   2    0.0009      0.44    6.5   0.2    15    43    23    54    13    58 0.76 NODE_1_length_651596_cov_115.359902_220 # 220620 # 221321 # 1 # ID=1_220;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.476
NODE_1_length_651596_cov_115.359902:220620-221321|+ -            234 1532                 -            562    0.0076   12.3   1.0   2   2    0.0035       1.7    4.6   0.0   434   508   140   212   109   229 0.70 NODE_1_length_651596_cov_115.359902_220 # 220620 # 221321 # 1 # ID=1_220;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.476
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/1532at33958.hmm
# Target file:     /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/ephraim/busco_isolate_may/run_lactobacillaceae_odb12/hmmer_output/1532at33958.out --cpu 1 /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/1532at33958.hmm /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/ephraim
# Date:            Sun May  3 19:13:18 2026
# [ok]
