#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_7_length_113986_cov_103.583132:28650-30029|-   -            460 76478                -            456  8.6e-224  740.7   0.1   1   1  2.7e-226  9.7e-224  740.5   0.1     1   454     1   453     1   455 0.99 NODE_7_length_113986_cov_103.583132_29 # 28650 # 30029 # -1 # ID=7_29;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.475
NODE_1_length_651596_cov_115.359902:179110-180363|+ -            418 76478                -            456    0.0025   13.9   0.0   1   1   1.5e-05    0.0054   12.8   0.0   103   135    26    60    13    70 0.85 NODE_1_length_651596_cov_115.359902_175 # 179110 # 180363 # 1 # ID=1_175;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.477
NODE_3_length_404174_cov_108.718135:70129-71121|-   -            331 76478                -            456    0.0056   12.8   0.0   1   1   2.3e-05    0.0083   12.2   0.0     6    52   143   189   139   212 0.80 NODE_3_length_404174_cov_108.718135_59 # 70129 # 71121 # -1 # ID=3_59;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.477
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/76478at33958.hmm
# Target file:     /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/ephraim/busco_isolate_may/run_lactobacillaceae_odb12/hmmer_output/76478at33958.out --cpu 1 /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/76478at33958.hmm /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/ephraim
# Date:            Sun May  3 19:13:24 2026
# [ok]
