#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_5_length_328887_cov_107.457170:139085-141340|- -            752 923                  -            733         0 1286.3   7.3   1   1         0         0 1285.9   7.3     4   733     5   749     2   749 0.96 NODE_5_length_328887_cov_107.457170_137 # 139085 # 141340 # -1 # ID=5_137;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.467
NODE_6_length_211744_cov_108.724426:132171-134462|+ -            764 923                  -            733   3.3e-08   29.4   9.5   2   4   9.9e-08   7.1e-05   18.4   0.1     3    46   203   247   201   263 0.89 NODE_6_length_211744_cov_108.724426_109 # 132171 # 134462 # 1 # ID=6_109;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.478
NODE_6_length_211744_cov_108.724426:132171-134462|+ -            764 923                  -            733   3.3e-08   29.4   9.5   3   4   6.2e-07   0.00045   15.7   0.1   212   298   526   612   520   675 0.79 NODE_6_length_211744_cov_108.724426_109 # 132171 # 134462 # 1 # ID=6_109;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.478
NODE_6_length_211744_cov_108.724426:132171-134462|+ -            764 923                  -            733   3.3e-08   29.4   9.5   4   4      0.09        65   -1.3   0.0   556   578   694   716   639   744 0.69 NODE_6_length_211744_cov_108.724426_109 # 132171 # 134462 # 1 # ID=6_109;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.478
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/923at33958.hmm
# Target file:     /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/ephraim/busco_isolate_may/run_lactobacillaceae_odb12/hmmer_output/923at33958.out --cpu 1 /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/923at33958.hmm /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/ephraim
# Date:            Sun May  3 19:13:24 2026
# [ok]
