#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_515833_cov_109.460731:424386-426803|- -            806 1671                 -            798         0 1286.1   0.0   1   1         0         0 1285.9   0.0     3   797     4   804     2   805 0.97 NODE_2_length_515833_cov_109.460731_399 # 424386 # 426803 # -1 # ID=2_399;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.504
NODE_1_length_651596_cov_115.359902:551112-553400|- -            763 1671                 -            798    0.0044   12.4   0.1   1   2       1.4   5.8e+02   -4.5   2.4   147   242    42    70     3    91 0.31 NODE_1_length_651596_cov_115.359902_528 # 551112 # 553400 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.478
NODE_1_length_651596_cov_115.359902:551112-553400|- -            763 1671                 -            798    0.0044   12.4   0.1   2   2   1.1e-05    0.0044   12.4   0.1   271   312   210   251   155   259 0.70 NODE_1_length_651596_cov_115.359902_528 # 551112 # 553400 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.478
NODE_13_length_45945_cov_104.851879:6267-7013|-     -            249 1671                 -            798       1.7    3.9  14.4   1   1    0.0049         2    3.6  14.4   131   267    64   203    51   232 0.72 NODE_13_length_45945_cov_104.851879_10 # 6267 # 7013 # -1 # ID=13_10;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.507
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/1671at33958.hmm
# Target file:     /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/ephraim/busco_isolate_may/run_lactobacillaceae_odb12/hmmer_output/1671at33958.out --cpu 1 /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/1671at33958.hmm /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/ephraim
# Date:            Sun May  3 19:13:17 2026
# [ok]
