#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_515833_cov_109.460731:205072-206106|+ -            345 2177                 -            330  4.8e-139  460.3   0.1   1   1  1.1e-141  5.4e-139  460.1   0.1     1   329     3   338     3   339 0.97 NODE_2_length_515833_cov_109.460731_179 # 205072 # 206106 # 1 # ID=2_179;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.512
NODE_4_length_348303_cov_114.329901:237295-238176|+ -            294 2177                 -            330    0.0027   14.1   0.0   2   2   0.00013      0.06    9.7   0.0   163   214   190   240   183   249 0.89 NODE_4_length_348303_cov_114.329901_208 # 237295 # 238176 # 1 # ID=4_208;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.499
NODE_1_length_651596_cov_115.359902:45075-46562|-   -            496 2177                 -            330     0.003   14.0   0.9   1   1   1.4e-05    0.0066   12.8   0.9   240   272   333   365   262   375 0.84 NODE_1_length_651596_cov_115.359902_41 # 45075 # 46562 # -1 # ID=1_41;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.506
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/2177at33958.hmm
# Target file:     /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/ephraim/busco_isolate_may/run_lactobacillaceae_odb12/hmmer_output/2177at33958.out --cpu 1 /home/ephraim/busco_downloads/lineages/lactobacillaceae_odb12/hmms/2177at33958.hmm /home/ephraim/busco_isolate_may/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/ephraim
# Date:            Sun May  3 19:13:20 2026
# [ok]
