Rank	Genome ID	Species	Strain	BioSample ID	Date	Location	Host	Allelic distance	ARGs	VFs	PGs	PPRS
15	GCA_003627255.1	Lacticaseibacillus paracasei	ZFM54	SAMN07305422	2011-08-03	China:Zhejiang maternal and child health hospital	Homo sapiens	623	0	0	1	1.00
16	GCA_000019245.3	Lacticaseibacillus paracasei	Zhang	SAMN02603933	-	China: Inner Mongolia	-	624	0	0	1	1.00
17	GCA_002115655.1	Lacticaseibacillus paracasei	DmW_181	SAMN06767179	2013-07	USA: New York	Drosophila	624	0	0	2	2.00
18	GCA_022819265.1	Lacticaseibacillus paracasei	SCB0563	SAMN26885627	2013-09-10	China:Guangdong	-	624	0	0	1	1.00
19	GCA_028878355.1	Lacticaseibacillus paracasei	LMG 25883	SAMN23708195	2012-01-30	Italy	-	625	0	0	2	2.00
20	GCA_030360685.1	Lacticaseibacillus paracasei	TOM.1362	SAMN35776906	2022-11	Russia: Altai	-	625	0	0	2	2.00
21	GCA_030360665.1	Lacticaseibacillus paracasei	TOM.1374	SAMN35776908	2022-11	Russia: Altai	-	626	0	0	2	2.00
22	GCA_000410095.1	Lacticaseibacillus paracasei subsp. paracasei CNCM I-2877	CNCM I-2877	SAMN02641492	2000	-	-	627	0	0	2	2.00
23	GCA_000418515.1	Lacticaseibacillus paracasei	LOCK919	SAMN02603330	-	-	-	627	0	0	1	1.00
24	GCA_002406665.1	Lacticaseibacillus paracasei	B3	SAMN07665582	2016-11-07	Canada: Montreal, Quebec	-	627	0	0	2	2.00
25	GCA_003199005.1	Lacticaseibacillus paracasei	Lpc10	SAMN09283999	2014	Argentina: Provincia de Rio Negro	-	627	0	0	1	1.00
26	GCA_005049135.1	Lacticaseibacillus paracasei	S49	SAMN11456259	2014	Canada:Lethbridge	Bos taurus	627	0	0	2	2.00
27	GCA_036762785.1	Lacticaseibacillus paracasei	1571-2_IL3211	SAMN37904772	-	-	animal	627	0	0	2	2.00
28	GCA_049191405.1	Lacticaseibacillus paracasei	IATA083	SAMN45053962	2022	Spain:Valencia	Homo sapiens	627	0	0	2	2.00
29	GCA_036762765.1	Lacticaseibacillus paracasei	1567_IL3212	SAMN37904769	-	-	animal	628	0	0	2	2.00
30	GCA_044740695.1	Lacticaseibacillus paracasei	E11.5	SAMN44487087	-	Ethiopia	-	628	0	0	1	1.00
31	GCA_048500655.1	Lacticaseibacillus paracasei	CBA7104	SAMN46760028	2016-10-13	South Korea: Bundang	Homo sapiens	628	0	0	1	1.00
32	GCA_000410135.1	Lacticaseibacillus paracasei subsp. paracasei Lpp17	Lpp17	SAMN02469707	1987	-	-	629	0	0	2	2.00
33	GCA_018917305.1	Lacticaseibacillus paracasei	N53	SAMN19374054	2019-08	China: Suzhou	Macaca fascicularis	629	0	0	2	2.00
34	GCA_025137495.1	Lacticaseibacillus paracasei	L1	SAMN20355457	2015-10-10	China:Jinzhou	-	629	0	0	1	1.00
35	GCA_003367655.1	Lacticaseibacillus paracasei subsp. paracasei	KMB_598	SAMN09398938	2013	Slovakia	-	630	0	0	2	2.00
36	GCA_018064185.1	Lacticaseibacillus paracasei	HM1	SAMN18644302	2015	India:Punjab	-	630	0	0	1	1.00
37	GCA_018257175.1	Lacticaseibacillus paracasei	Dm-2019-60	SAMN17146146	2019	USA: Ithaca, NY	Drosophila melanogaster	631	0	0	2	2.00
38	GCA_000410175.1	Lacticaseibacillus paracasei subsp. paracasei Lpp225	Lpp225	SAMN02469715	2009	-	-	632	0	0	2	2.00
39	GCA_023674545.1	Lacticaseibacillus paracasei	401	SAMN28818858	2021-10-10T14:30:10Z	China:kunming	-	632	0	0	1	1.00
40	GCA_025215665.1	Lacticaseibacillus paracasei	ALAC-4	SAMN10688387	-	-	-	632	0	0	1	1.00
41	GCA_028878315.1	Lacticaseibacillus paracasei	DSM 4905	SAMN23708196	2012-01-30	Italy	Homo sapiens	632	0	0	2	2.00
42	GCA_047785155.1	Lacticaseibacillus paracasei	SRCM212209	SAMN46082883	2020-10	South Korea:Sunchang	-	632	0	0	1	1.00
43	GCA_015476075.1	Lacticaseibacillus paracasei subsp. tolerans	MGB0245	SAMN16657550	-	South Korea	-	633	0	0	1	1.00
44	GCA_018729425.1	Lacticaseibacillus paracasei	MYD3	SAMN16551136	2017	Indonesia: Yogyakarta	-	633	0	0	2	2.00
45	GCA_025190665.1	Lacticaseibacillus paracasei	CIRM-BIA 655	SAMN10365443	1995	France	-	633	0	0	2	2.00
46	GCA_025190685.1	Lacticaseibacillus paracasei	CIRM-BIA 1445	SAMN10365442	1996	France	-	633	0	0	2	2.00
47	GCA_031348425.1	Lacticaseibacillus paracasei	KCKM 0245	SAMN37235621	2016-07-08	South Korea	-	633	0	0	1	1.00
48	GCA_035330705.1	Lacticaseibacillus paracasei	S135-24W	SAMN38650142	2022	Taiwan	Homo sapiens	633	0	0	1	1.00
49	GCA_000155515.2	Lacticaseibacillus paracasei subsp. paracasei 8700:2	362.5013889	SAMN02463682	-	-	Homo sapiens	634	0	0	1	1.00
50	GCA_015476155.1	Lacticaseibacillus paracasei subsp. tolerans	MGB0625	SAMN16668564	-	South Korea	-	634	0	0	1	1.00
51	GCA_028993835.1	Lacticaseibacillus paracasei	ARN1	SAMN33449985	2021-08-01	Turkey:Ankara	bacteria	634	0	0	2	2.00
52	GCA_031461095.1	Lacticaseibacillus paracasei	KCKM 0992	SAMN37256209	2015	South Korea	-	634	0	0	1	1.00
53	GCA_015693945.1	Lacticaseibacillus paracasei subsp. tolerans	ZY-1	SAMN16861159	2017-06	China	-	635	0	0	1	1.00
54	GCA_019175405.1	Lacticaseibacillus paracasei subsp. paracasei	GR0548	SAMN18436391	2008-12	Taiwan	-	635	0	0	1	1.00
55	GCA_034555135.1	Lacticaseibacillus paracasei	BF3	SAMN38857134	2021	Spain:Galicia	Brachionus plicatilis	635	0	0	2	2.00
56	GCA_034555155.1	Lacticaseibacillus paracasei	RT4	SAMN38857191	2021	Spain:Galicia	Brachionus plicatilis	635	0	0	2	2.00
57	GCA_039615415.1	Lacticaseibacillus paracasei	TBM 27	SAMN41068605	2015-10	Viet Nam: Bac Giang	-	635	0	0	2	2.00
58	GCA_039615445.1	Lacticaseibacillus paracasei	NKM 5.4	SAMN41068727	2016-02	Viet Nam: Khanh Hoa	-	635	0	0	2	2.00
59	GCA_039871405.1	Lacticaseibacillus paracasei	OSY-31	SAMN41462736	2022	USA	-	635	0	0	2	2.00
60	GCA_034044075.1	Lacticaseibacillus paracasei	MP11A	SAMN37950489	2019-08-19	India: Manipur	-	636	0	0	1	1.00
61	GCA_003712605.1	Lacticaseibacillus paracasei	FAM19353	SAMN04088879	1990	Switzerland	-	637	0	0	2	2.00
62	GCA_003712905.1	Lacticaseibacillus paracasei	FAM3228	SAMN04088886	-	Switzerland	-	637	0	0	1	1.00
63	GCA_020540265.1	Lacticaseibacillus paracasei	MSK.19.8	SAMN22165146	-	USA:New York	Homo sapiens	637	0	0	2	2.00
64	GCA_033815995.1	Lacticaseibacillus paracasei	YE01	SAMN37887709	-	China	-	637	0	0	1	1.00
65	GCA_000409835.1	Lacticaseibacillus paracasei subsp. tolerans Lpl7	Lpl7	SAMN02469714	-	-	-	638	0	0	2	2.00
66	GCA_001540885.1	Lacticaseibacillus paracasei	Lc1542	SAMN03702539	2012	France	bovine	638	0	0	2	2.00
67	GCA_002148875.1	Lacticaseibacillus paracasei	DPC2071	SAMN05949321	1988-11-08	Ireland	-	638	0	0	2	2.00
68	GCA_041734185.1	Lacticaseibacillus paracasei	MGL98	SAMN43028860	2024-07-12	South Korea	-	638	0	0	1	1.00
69	GCA_041893825.1	Lacticaseibacillus paracasei	FMT2	SAMN43472422	2024	South Korea: Daegu	-	638	0	0	1	1.00
70	GCA_025190495.1	Lacticaseibacillus paracasei	CIRM-BIA 288	SAMN10365452	2008	France	-	639	0	0	2	2.00
71	GCA_025946725.1	Lacticaseibacillus paracasei subsp. tolerans	FX-6	SAMN31308951	2014-10-03	China: Guangzhou	-	639	0	0	1	1.00
72	GCA_025946745.1	Lacticaseibacillus paracasei subsp. tolerans	FX-6-1	SAMN31308977	2014-10-15	China: Guangzhou	-	639	0	0	1	1.00
73	GCA_031630235.1	Lacticaseibacillus paracasei	69Bis	SAMN30173654	2012-03-01	Algeria: Sidi Okba region, Biskra.	goat	639	0	0	2	2.00
74	GCA_002257625.1	Lacticaseibacillus paracasei	TK1501	SAMN05921089	2015	China:Inner Mongolia	-	640	0	0	1	1.00
75	GCA_003712645.1	Lacticaseibacillus paracasei	FAM22276	SAMN04088881	1990	Switzerland	-	640	0	0	2	2.00
76	GCA_003712935.1	Lacticaseibacillus paracasei	FAM3248	SAMN04088887	1990	Switzerland	-	640	0	0	2	2.00
77	GCA_015476135.1	Lacticaseibacillus paracasei subsp. tolerans	MGB0734	SAMN16667758	-	South Korea	-	640	0	0	1	1.00
78	GCA_022614605.1	Lacticaseibacillus paracasei	GMNL-653	SAMN22548460	2018-10-01	Taiwan: GenMont Biotech (Tainan)	Homo sapiens	640	0	0	1	1.00
79	GCA_024329455.1	Lacticaseibacillus paracasei	Kef-w14	SAMN18720967	2020-10-16	Singapore	-	640	0	0	2	2.00
80	GCA_030540905.1	Lacticaseibacillus paracasei	11w	SAMN36403201	2022-01-26	Lithuania: Vilnius	-	640	0	0	2	2.00
81	GCA_032337035.1	Lacticaseibacillus paracasei subsp. paracasei	TISTR 2593	SAMN37586168	2021-09-15	Thailand: Bangkok	Homo sapiens	640	0	0	2	2.00
82	GCA_038419715.1	Lacticaseibacillus paracasei subsp. paracasei	TISTR 2593	SAMN40500145	2021-09-15	Thailand: Bangkok	Homo sapiens	640	0	0	1	1.00
83	GCA_040822445.1	Lacticaseibacillus paracasei subsp. paracasei	BS2-PB5	SAMN42029631	2022-02-20	Indonesia: Tangerang	Homo sapiens	640	0	0	1	1.00
84	GCA_000409895.1	Lacticaseibacillus paracasei subsp. paracasei Lpp226	Lpp226	SAMN02469716	2009	-	-	641	0	0	2	2.00
85	GCA_000410335.1	Lacticaseibacillus paracasei subsp. tolerans Lpl14	Lpl14	SAMN02469703	1996	-	-	641	0	0	2	2.00
86	GCA_002079285.1	Lacticaseibacillus paracasei	IIA	SAMN04571918	2014-05-05	Indonesia: Bogor	-	641	0	0	1	1.00
87	GCA_003712225.1	Lacticaseibacillus paracasei	FAM10859	SAMN04088858	-	Switzerland	-	641	0	0	2	2.00
88	GCA_003712665.1	Lacticaseibacillus paracasei	FAM22277	SAMN04088882	1996	Switzerland	-	641	0	0	2	2.00
89	GCA_012241605.1	Lacticaseibacillus paracasei	DTA81	SAMN14517101	2016-10-22	Brazil	Homo sapiens	641	0	0	1	1.00
90	GCA_013307125.1	Lacticaseibacillus paracasei	Lp02	SAMN11489091	2018-06-15	South Korea:Kyunggi-do	Homo sapiens	641	0	0	2	2.00
91	GCA_016890245.1	Lacticaseibacillus paracasei	YT170	SAMN17818118	2020-10-11	China: Chengdu	Rex rabbit	641	0	0	2	2.00
92	GCA_044905105.1	Lacticaseibacillus paracasei	E	SAMN44286705	-	-	-	641	0	0	1	1.00
93	GCA_000410115.1	Lacticaseibacillus paracasei subsp. paracasei Lpp48	Lpp48	SAMN02641496	1996	-	-	642	0	0	1	1.00
94	GCA_009739485.1	Lacticaseibacillus paracasei subsp. paracasei	IBB3423	SAMN07167770	2013-09-29	Poland	-	642	0	0	1	1.00
95	GCA_003712245.1	Lacticaseibacillus paracasei	FAM18108	SAMN04088862	2003	Switzerland	-	643	0	0	2	2.00
96	GCA_003712755.1	Lacticaseibacillus paracasei	FAM3257	SAMN04088888	1990	Switzerland	-	643	0	0	2	2.00
97	GCA_005864195.1	Lacticaseibacillus paracasei	FAM 3257	SAMN11653942	1990	Switzerland	-	643	0	0	2	2.00
98	GCA_030215365.1	Lacticaseibacillus paracasei	UMB7433B	SAMN34998777	-	USA: Maywood, IL	Homo sapiens	643	0	0	2	2.00
99	GCA_000410015.1	Lacticaseibacillus paracasei subsp. paracasei Lpp221	Lpp221	SAMN02469717	2008	-	Homo sapiens	644	0	0	2	2.00
100	GCA_000410035.1	Lacticaseibacillus paracasei subsp. paracasei Lpp49	Lpp49	SAMN02469726	1996	-	-	644	0	0	2	2.00
